,state,constituency,won status,votes,(votes),Name,Party Name
0,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),won,102436,(+ 24396),BISHNU PADA RAY,Bharatiya Janata Party
13,Punjab,Faridkot(9),won,298062,(+ 70053),SARABJEET SINGH KHALSA,Independent
42,Puducherry,PUDUCHERRY(1),won,426005,(+ 136516),VE VAITHILINGAM,Indian National Congress
69,Odisha,Koraput(21),won,471393,(+ 147744),SAPTAGIRI SANKAR ULAKA,Indian National Congress
81,NCT OF Delhi,South Delhi(7),won,692832,(+ 124333),RAMVIR SINGH BIDHURI,Bharatiya Janata Party
104,Nagaland,Nagaland(1),won,401951,(+ 50984),S SUPONGMEREN JAMIR,Indian National Congress
108,Mizoram,MIZORAM(1),won,208552,(+ 68288),RICHARD VANLALHMANGAIHA,Zoram People’s Movement
115,Meghalaya,Tura(2),won,383919,(+ 155241),SALENG A SANGMA,Indian National Congress
120,Manipur,Outer Manipur(2),won,384954,(+ 85418),ALFRED KANNGAM S ARTHUR,Indian National Congress
125,Maharashtra,Sangli(44),won,571666,(+ 100053),VISHAL (DADA) PRAKASHBAPU PATIL,Independent
146,Madhya Pradesh,BETUL(29),won,848236,(+ 379761),DURGADAS (D. D.) UIKEY,Bharatiya Janata Party
155,Lakshadweep,Lakshadweep(1),won,25726,(+ 2647),MUHAMMED HAMDULLAH SAYEED,Indian National Congress
160,Ladakh,Ladakh(1),won,65259,(+ 27862),MOHMAD HANEEFA,Independent
164,Kerala,Kollam(18),won,443628,(+ 150302),N K PREMACHANDRAN,Revolutionary Socialist Party
177,Karnataka,Kolar(28),won,691481,(+ 71388),M. MALLESH BABU,Janata Dal  (Secular)
196,Jharkhand,Giridih(6),won,451139,(+ 80880),CHANDRA PRAKASH CHOUDHARY,AJSU Party
213,West Bengal,Maldaha Dakshin(8),won,572395,(+ 128368),ISHA KHAN CHOUDHURY,Indian National Congress
231,Karnataka,Mandya(20),won,851881,(+ 284620),H.D. KUMARASWAMY,Janata Dal  (Secular)
246,Madhya Pradesh,KHANDWA(28),won,862679,(+ 269971),GYANESHWAR PATIL,Bharatiya Janata Party
258,Madhya Pradesh,KHARGONE(27),won,819863,(+ 135018),GAJENDRA SINGH PATEL,Bharatiya Janata Party
264,Madhya Pradesh,INDORE(26),won,1226751,(+ 1008077),SHANKAR LALWANI,Bharatiya Janata Party
279,Madhya Pradesh,DHAR(25),won,794449,(+ 218665),SAVITRI THAKUR,Bharatiya Janata Party
287,Madhya Pradesh,RATLAM(24),won,795863,(+ 207232),ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party
300,Madhya Pradesh,MANDSOUR(23),won,945761,(+ 500655),SUDHEER GUPTA,Bharatiya Janata Party
309,Madhya Pradesh,UJJAIN(22),won,836104,(+ 375860),ANIL FIROJIYA,Bharatiya Janata Party
319,Madhya Pradesh,DEWAS(21),won,928941,(+ 425225),MAHENDRA SINGH SOLANKY,Bharatiya Janata Party
328,Madhya Pradesh,BHOPAL(19),won,981109,(+ 501499),ALOK SHARMA,Bharatiya Janata Party
351,Madhya Pradesh,VIDISHA(18),won,1116460,(+ 821408),SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party
365,Madhya Pradesh,HOSHANGABAD(17),won,812147,(+ 431696),DARSHAN SINGH CHOUDHARY,Bharatiya Janata Party
378,Madhya Pradesh,RAJGARH(20),won,758743,(+ 146089),RODMAL NAGAR,Bharatiya Janata Party
394,Madhya Pradesh,CHHINDWARA(16),won,644738,(+ 113618),BUNTY VIVEK SAHU,Bharatiya Janata Party
410,Madhya Pradesh,BALAGHAT(15),won,712660,(+ 174512),BHARTI PARDHI,Bharatiya Janata Party
424,Madhya Pradesh,MANDLA(14),won,751375,(+ 103846),FAGGAN SINGH KULASTE,Bharatiya Janata Party
439,Madhya Pradesh,JABALPUR(13),won,790133,(+ 486674),ASHISH DUBEY,Bharatiya Janata Party
459,Madhya Pradesh,SHAHDOL(12),won,711143,(+ 397340),SMT. HIMADRI SINGH,Bharatiya Janata Party
470,Madhya Pradesh,SIDHI(11),won,583559,(+ 206416),DR. RAJESH MISHRA,Bharatiya Janata Party
488,Madhya Pradesh,REWA(10),won,477459,(+ 193374),JANARDAN MISHRA,Bharatiya Janata Party
503,Madhya Pradesh,SATNA(9),won,459728,(+ 84949),GANESH SINGH,Bharatiya Janata Party
523,Madhya Pradesh,KHAJURAHO(8),won,772774,(+ 541229),VISHNU DATT SHARMA (V.D.SHARMA),Bharatiya Janata Party
538,Madhya Pradesh,DAMOH(7),won,709768,(+ 406426),RAHUL SINGH LODHI,Bharatiya Janata Party
553,Madhya Pradesh,TIKAMGARH(6),won,715050,(+ 403312),DR. VIRENDRA KUMAR,Bharatiya Janata Party
561,Madhya Pradesh,SAGAR(5),won,787979,(+ 471222),DR. LATA WANKHEDE,Bharatiya Janata Party
575,Madhya Pradesh,GUNA(4),won,923302,(+ 540929),JYOTIRADITYA M. SCINDIA,Bharatiya Janata Party
591,Madhya Pradesh,GWALIOR(3),won,671535,(+ 70210),BHARAT SINGH KUSHWAH,Bharatiya Janata Party
611,Madhya Pradesh,BHIND(2),won,537065,(+ 64840),SANDHYA RAY,Bharatiya Janata Party
619,Madhya Pradesh,MORENA(1),won,515477,(+ 52530),SHIVMANGAL SINGH TOMAR,Bharatiya Janata Party
635,Manipur,Inner Manipur(1),won,374017,(+ 109801),ANGOMCHA BIMOL AKOIJAM,Indian National Congress
642,NCT OF Delhi,West Delhi(6),won,842658,(+ 199013),KAMALJEET SEHRAWAT,Bharatiya Janata Party
667,NCT OF Delhi,North-West Delhi(5),won,866483,(+ 290849),YOGENDER CHANDOLIYA,Bharatiya Janata Party
