ref,state,constituency,img_link,won_status,votes,votes_percentage,name,party_name
1,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/PHANI-2024-20240422060626.jpg,won,860113,(+ 222351),PHANI BHUSAN CHOUDHURY,Asom Gana Parishad
2,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEEPB-2024-20240422060546.jpg,lost,637762,( -222351),DEEP BAYAN,Indian National Congress
3,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MANOR-2024-20240422060744.jpg,lost,96138,( -763975),MANORANJAN TALUKDAR,Communist Party of India  (Marxist)
4,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABULK-2024-6334.jpg,lost,16432,( -843681),ABUL KALAM AZAD,All India Trinamool Congress
5,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEWAN-2024-6439.jpg,lost,9941,( -850172),DEWAN MOHIBUL ISLAM,Independent
6,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SAMEJ-2024-20240420031235.jpg,lost,9692,( -850421),SAMEJ UDDIN,Bodoland Peoples Front
7,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DULUA-2024-4901.jpg,lost,9338,( -850775),DULU AHMED,Independent
8,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MATIA-2024-20240420025719.jpg,lost,7935,( -852178),MATIAR RAHMAN,Independent
9,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/JAGAN-2024-20240422061354.jpg,lost,5548,( -854565),JAGANNATH RAY,Independent
10,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SHAJA-2024-5578.jpg,lost,4448,( -855665),SHAJAHAN ALI KHAN,Voters Party  International
11,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AYNAL-2024-6072.jpg,lost,3192,( -856921),AYNAL HAQUE,Independent
12,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/CHITR-2024-5585.jpg,lost,3131,( -856982),CHITRALEKHA DAS,Socialist Unity Centre Of India (COMMUNIST)
13,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AMZAD-2024-20240422061140.jpg,lost,2679,( -857434),AMZAD ALI,Republican Party of India (Athawale)
14,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABUBA-2024-6266.jpg,lost,2477,( -857636),ABUBAKKAR SIDDIQUE,Rashtriya Ulama Council
15,Assam,Barpeta(3),img/nota.jpg,,17117,( -842996),NOTA,None of the Above
16,Arunachal Pradesh,Arunachal East(2),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TAPIR-2024-987.jpg,won,145581,(+ 30421),TAPIR GAO,Bharatiya Janata Party
17,Arunachal Pradesh,Arunachal East(2),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/BOSIR-2024-1603.jpg,lost,115160,( -30421),BOSIRAM SIRAM,Indian National Congress
18,Arunachal Pradesh,Arunachal East(2),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TAMAT-2024-2012.jpg,lost,27603,( -117978),TAMAT GAMOH,Independent
19,Arunachal Pradesh,Arunachal East(2),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/SOTAI-2024-1650.jpg,lost,14213,( -131368),SOTAI KRI,Independent
20,Arunachal Pradesh,Arunachal East(2),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/OMAKN-2024-997.jpg,lost,9369,( -136212),OMAK NITIK,Independent
21,Arunachal Pradesh,Arunachal East(2),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/BANDE-2024-1976.jpg,lost,6622,( -138959),BANDEY MILI,Arunachal Democratic Party
22,Arunachal Pradesh,Arunachal East(2),img/nota.jpg,,4895,( -140686),NOTA,None of the Above
23,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BALAS-2024-7952.jpg,won,724439,(+ 223179),BALASHOWRY VALLABHANENI,Janasena Party
24,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/SIMHA-2024-6919.jpg,lost,501260,( -223179),SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party
25,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/GOLLU-2024-7976.jpg,lost,31825,( -692614),GOLLU KRISHNA,Indian National Congress
26,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BAALS-2024-9130.jpg,lost,11141,( -713298),BAAL SHOURI CHODABATHINA,Jatiya Jana Sena Party
27,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/DEVAM-2024-6999.jpg,lost,10028,( -714411),DEVAMANI DEVARAPALLI,Bahujan Samaj Party
28,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/KOMMA-2024-8996.jpg,lost,5254,( -719185),KOMMARAJU SIVA NARASIMHA RAO,All India Forward Bloc
29,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/VALLA-2024-7455.jpg,lost,5220,( -719219),VALLABHANENI NAGA PAVAN KUMAR,Independent
30,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/MARAD-2024-9141.jpg,lost,2214,( -722225),MARADANI K R SWAMY,Jai Maha Bharath Party
31,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/GANDH-2024-8044.jpg,lost,1991,( -722448),GANDHI  DHANEKULA,Independent
32,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/PAMUL-2024-9127.jpg,lost,1582,( -722857),PAMULA BALA SOWRYAMMA,Independent
33,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/ANUSH-2024-9089.jpg,lost,1235,( -723204),ANUSHA YERUVA,Independent
34,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/GUDAV-2024-6992.jpg,lost,1111,( -723328),GUDAVALLI VENKATA KEDARESWARA RAO,Independent
35,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/JOGIV-2024-9056.jpg,lost,1022,( -723417),JOGI VEERANJANEYULU,Independent
36,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/DAMOD-2024-9114.jpg,lost,930,( -723509),DAMODARA RAO GUDAVALLI,Independent
37,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/APPAR-2024-9072.jpg,lost,626,( -723813),APPARAO ENNETI,Independent
38,Andhra Pradesh,Machilipatnam(11),img/nota.jpg,,12126,( -712313),NOTA,None of the Above
39,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/BISHN-2024-169.jpg,won,102436,(+ 24396),BISHNU PADA RAY,Bharatiya Janata Party
40,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/KULDE-2024-2038.jpg,lost,78040,( -24396),KULDEEP RAI SHARMA,Indian National Congress
41,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/MANOJ-2024-970.jpg,lost,8254,( -94182),MANOJ PAUL,Andaman Nicobar Democratic Congress
42,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/DAYYA-2024-944.jpg,lost,6017,( -96419),D AYYAPPAN,Communist Party of India  (Marxist)
43,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/VKA-2024-2102.jpg,lost,2203,( -100233),V.K. ABDUL AZIZ,Independent
44,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/KJBSE-2024-986.jpg,lost,914,( -101522),K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam
45,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/DRARU-2024-938.jpg,lost,719,( -101717),DR ARUN KUMAR MALLIK,Bahujan Samaj Party
