S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Anakapalle(5),C.M.RAMESH,762069,296530
2,Rajahmundry(8),DAGGUBATI PURANDHESHWARI,726515,239139
3,Narsapuram(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,276802
4,Arunachal West(1),KIREN RIJIJU,205417,100738
5,Arunachal East(2),TAPIR GAO,145581,30421
6,Darrang-Udalguri(4),DILIP SAIKIA,868387,329012
7,Guwahati(5),BIJULI KALITA MEDHI,894887,251090
8,Diphu(6),AMARSING TISSO,334620,147603
9,Karimganj(7),KRIPANATH MALLAH,545093,18360
10,Silchar (8),PARIMAL SUKLABAIDYA,652405,264311
11,Kaziranga(10),KAMAKHYA PRASAD TASA,897043,248947
12,Sonitpur(11),RANJIT DUTTA,775788,361408
13,Lakhimpur(12),PRADAN BARUAH,663122,201257
14,Dibrugarh(13),SARBANANDA SONOWAL,693762,279321
15,Paschim Champaran(2),DR.SANJAY JAISWAL,580421,136568
16,Purvi Champaran(3),RADHA MOHAN SINGH,542193,88287
17,Madhubani(6),ASHOK KUMAR YADAV,553428,151945
18,Araria(9),PRADEEP KUMAR SINGH,600146,20094
19,Darbhanga(14),GOPAL JEE THAKUR,566630,178156
20,Muzaffarpur(15),RAJ BHUSHAN CHOUDHARY,619749,234927
21,Maharajganj(19),"JANARDAN SINGH ""SIGRIWAL""",529533,102651
22,Saran(20),RAJIV PRATAP RUDY,471752,13661
23,Ujiarpur(22),NITYANAND RAI,515965,60102
24,Begusarai(24),GIRIRAJ SINGH,649331,81480
25,Patna Sahib(30),RAVI SHANKAR PRASAD,588270,153846
26,Nawada(39),VIVEK THAKUR,410608,67670
27,North Goa(1),SHRIPAD YESSO NAIK,257326,116015
28,Kachchh(1),CHAVDA VINOD LAKHAMSHI,659574,268782
29,Patan(3),DABHI BHARATSINHJI SHANKARJI,591947,31876
30,Mahesana(4),HARIBHAI PATEL,686406,328046
31,Sabarkantha(5),SHOBHANABEN MAHENDRASINH BARAIYA,677318,155682
32,Gandhinagar(6),AMIT SHAH,1010972,744716
33,Ahmedabad East(7),HASMUKHBHAI PATEL (H.S.PATEL),770459,461755
34,Ahmedabad West(8),DINESHBHAI MAKWANA (ADVOCATE),611704,286437
35,Surendranagar(9),CHANDUBHAI CHHAGANBHAI SHIHORA,669749,261617
36,Rajkot(10),PARSHOTTAMBHAI RUPALA,857984,484260
37,Porbandar(11),DR. MANSUKH MANDAVIYA,633118,383360
38,Jamnagar(12),POONAMBEN HEMATBHAI MAADAM,620049,238008
39,Junagadh(13),CHUDASAMA RAJESHBHAI NARANBHAI,584049,135494
40,Amreli(14),BHARATBHAI MANUBHAI SUTARIYA,580872,321068
41,Bhavnagar(15),NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),716883,455289
42,Anand(16),MITESH PATEL (BAKABHAI),612484,89939
43,Kheda(17),DEVUSINH CHAUHAN,744435,357758
44,Panchmahal(18),RAJPALSINH MAHENDRASINH JADAV,794579,509342
45,Dahod(19),JASWANTSINH SUMANBHAI BHABHOR,688715,333677
46,Vadodara(20),DR. HEMANG JOSHI,873189,582126
47,Chhota Udaipur(21),JASHUBHAI BHILUBHAI RATHVA,796589,398777
48,Bharuch(22),MANSUKHBHAI DHANJIBHAI VASAVA,608157,85696
49,Bardoli(23),PARBHUBHAI NAGARBHAI VASAVA,763950,230253
50,Surat(24),MUKESHKUMAR CHANDRAKAANT DALAL (Uncontested),-,-
51,Navsari(25),C R PATIL,1031065,773551
52,Valsad(26),DHAVAL LAXMANBHAI PATEL,764226,210704
53,KURUKSHETRA(2),NAVEEN JINDAL,542175,29021
54,KARNAL(5),MANOHAR LAL,739285,232577
55,BHIWANI-MAHENDRAGARH(8),DHARAMBIR SINGH,588664,41510
56,GURGAON(9),RAO INDERJIT SINGH,808336,75079
57,FARIDABAD(10),KRISHAN PAL,788569,172914
58,KANGRA(1),DR RAJEEV BHARDWAJ,632793,251895
59,MANDI(2),KANGNA RANAUT,537022,74755
60,HAMIRPUR(3),ANURAG SINGH THAKUR,607068,182357
61,SHIMLA(4),Suresh Kumar Kashyap,519748,91451
