S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Dhubri (2),RAKIBUL HUSSAIN,1471885,1012476
2,Nagaon(9),PRADYUT BORDOLOI,788850,212231
3,Jorhat(14),GAURAV GOGOI,751771,144393
4,Kishanganj(10),MOHAMMAD JAWED,402850,59692
5,Katihar(11),TARIQ ANWAR,567092,49863
6,Sasaram(34),MANOJ KUMAR,513004,19157
7,South Goa(2),CAPTAIN VIRIATO FERNANDES,217836,13535
8,Banaskantha(2),GENIBEN NAGAJI THAKOR,671883,30406
9,AMBALA(1),VARUN CHAUDHRY,663657,49036
10,SIRSA(3),SELJA,733823,268497
11,HISAR(4),JAI PARKASH (J P) S/O HARIKESH,570424,63381
12,SONIPAT(6),SATPAL BRAHAMCHARI,548682,21816
13,ROHTAK(7),DEEPENDER SINGH HOODA,783578,345298
14,Chikkodi(1),PRIYANKA SATISH JARKIHOLI,713461,90834
15,Gulbarga(5),RADHAKRISHNA,652321,27205
16,Raichur(6),G. KUMAR NAIK.,670966,79781
17,Bidar(7),SAGAR ESHWAR KHANDRE,666317,128875
18,Koppal(8),K. RAJASHEKAR BASAVARAJ HITNAL,663511,46357
19,Bellary(9),E. TUKARAM,730845,98992
20,Davanagere(13),DR. PRABHA MALLIKARJUN,633059,26094
21,Hassan(16),SHREYAS. M. PATEL,672988,42649
22,Chamarajanagar(22),SUNIL BOSE,751671,188706
23,Kasaragod(1),RAJMOHAN UNNITHAN,490659,100649
24,Kannur(2),K. SUDHAKARAN,518524,108982
25,Vadakara(3),SHAFI PARAMBIL,557528,114506
26,Wayanad(4),RAHUL GANDHI,647445,364422
27,Kozhikode(5),M. K. RAGHAVAN,520421,146176
28,Palakkad(8),V K SREEKANDAN,421169,75283
29,Chalakudy(11),BENNY BEHANAN,394171,63754
30,Ernakulam(12),HIBI EDEN,482317,250385
31,Idukki(13),ADV. DEAN KURIAKOSE,432372,133727
32,Alappuzha(15),K. C VENUGOPAL,404560,63513
33,Mavelikkara (16),KODIKUNNIL SURESH,369516,10868
34,Pathanamthitta(17),ANTO ANTONY,367623,66119
35,Attingal(19),ADV ADOOR PRAKASH,328051,684
36,Thiruvananthapuram(20),SHASHI THAROOR,358155,16077
37,Nandurbar(1),ADV GOWAAL KAGADA PADAVI,745998,159120
38,Dhule(2),BACHHAV SHOBHA DINESH,583866,3831
39,Amravati (7),BALWANT BASWANT WANKHADE,526271,19731
40,Ramtek (9),Shyamkumar (Babalu) Daulat Barve,613025,76768
41,Bhandara Gondiya(11),DR. PRASHANT YADAORAO PADOLE,587413,37380
42,Gadchiroli - Chimur(12),DR. KIRSAN NAMDEO,617792,141696
43,Chandrapur(13),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,718410,260406
44,Nanded(16),CHAVAN VASANTRAO BALWANTRAO,528894,59442
45,Jalna(18),KALYAN VAIJINATHRAO KALE,607897,109958
46,Mumbai North Central(29),GAIKWAD VARSHA EKNATH,445545,16514
47,Latur (41),DR. KALGE SHIVAJI BANDAPPA,609021,61881
48,Solapur(42),PRANITI SUSHILKUMAR SHINDE,620225,74197
49,Kolhapur(47),CHHATRAPATI SHAHU SHAHAJI,754522,154964
50,Inner Manipur(1),ANGOMCHA BIMOL AKOIJAM,374017,109801
51,Outer Manipur(2),ALFRED KANNGAM S ARTHUR,384954,85418
52,Tura(2),SALENG A SANGMA,383919,155241
53,Nagaland(1),S SUPONGMEREN JAMIR,401951,50984
54,Koraput(21),SAPTAGIRI SANKAR ULAKA,471393,147744
55,Gurdaspur(1),SUKHJINDER SINGH RANDHAWA,364043,82861
56,Amritsar(2),GURJEET SINGH AUJLA,255181,40301
57,Jalandhar(4),CHARANJIT SINGH CHANNI,390053,175993
58,Ludhiana(7),AMRINDER SINGH RAJA WARRING,322224,20942
59,Fatehgarh Sahib(8),AMAR SINGH,332591,34202
60,Firozpur(10),SHER SINGH GHUBAYA,266626,3242
61,Patiala(13),DR DHARAMVIRA GANDHI,305616,14831
62,GANGANAGAR (1),KULDEEP INDORA,726492,88153
63,CHURU(3),RAHUL KASWAN,728211,72737
64,JHUNJHUNU (4),BRIJENDRA SINGH OLA,553168,18235
65,BHARATPUR (9),SANJNA JATAV,579890,51983
66,KARAULI-DHOLPUR (10),BHAJAN LAL JATAV,530011,98945
67,DAUSA (11),MURARI LAL MEENA,646266,237340
68,TONK-SAWAI MADHOPUR (12),HARISH CHANDRA MEENA,623763,64949
69,BARMER(17),UMMEDA RAM BENIWAL,704676,118176
70,TIRUVALLUR(1),Sasikanth Senthil,796956,572155
71,KRISHNAGIRI(9),GOPINATH K,492883,192486
72,KARUR(23),JOTHIMANI. S,534906,166816
73,CUDDALORE(26),M.K. VISHNUPRASAD,455053,185896
74,MAYILADUTHURAI(28),SUDHA R,518459,271183
75,SIVAGANGA(31),KARTI P CHIDAMBARAM,427677,205664
76,VIRUDHUNAGAR(34),MANICKAM TAGORE B,385256,4379
77,TIRUNELVELI(38),ROBERT BRUCE C,502296,165620
78,KANNIYAKUMARI(39),VIJAYAKUMAR (Alias) VIJAY VASANTH,546248,179907
79,Saharanpur(1),IMRAN MASOOD,547967,64542
80,Sitapur(30),RAKESH RATHOR,531138,89641
81,Rae Bareli(36),RAHUL GANDHI,687649,390030
82,Amethi(37),KISHORI LAL,539228,167196
83,Allahabad(52),UJJWAL RAMAN SINGH,462145,58795
84,Barabanki(53),TANUJ PUNIA,719927,215704
85,Maldaha Dakshin(8),ISHA KHAN CHOUDHURY,572395,128368
86,KORBA(4),JYOTSNA CHARANDAS MAHANT,570182,43283
87,Khunti(11),KALI CHARAN MUNDA,511647,149675
88,Lohardaga(12),SUKHDEO BHAGAT,483038,139138
89,Peddapalle (2),VAMSI KRISHNA GADDAM,475587,131364
90,Zahirabad(5),SURESH KUMAR SHETKAR,528418,46188
91,Nagarkurnool(12),DR.MALLU RAVI,465072,94414
92,Nalgonda(13),KUNDURU RAGHUVEER,784337,559905
93,Bhongir (14),CHAMALA KIRAN KUMAR REDDY,629143,222170
94,Warangal(15),KADIYAM KAVYA,581294,220339
95,Mahabubabad (16),BALRAM NAIK PORIKA,612774,349165
96,Khammam (17),RAMASAHAYAM RAGHURAM REDDY,766929,467847
97,Chandigarh(1),MANISH TEWARI,216657,2504
98,Lakshadweep(1),MUHAMMED HAMDULLAH SAYEED,25726,2647
99,PUDUCHERRY(1),VE VAITHILINGAM,426005,136516
