ref,state,constituency,img_link,won_status,votes,votes_percentage,name,party_name
1,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SARAD-2024-20240510043709.jpg,won,88632,(+ 7423),SARADA PRASAD PADHAN,Independent
2,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/ANKIT-2024-20240514044942.jpg,lost,81209,( -7423),ANKIT PRATAP JENA,Biju Janata Dal
3,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SUMAN-2024-20240510042642.jpg,lost,19481,( -69151),SUMANTA KUMAR GHADEI,Bharatiya Janata Party
4,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/DEBEN-2024-20240510040432.jpg,lost,14796,( -73836),DEBENDRA KUMAR SAHOO,Indian National Congress
5,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SARAD-2024-20240513035829.jpg,lost,543,( -88089),SARADA PRASAD DAS,Aam Aadmi Party
6,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/JAYAN-2024-20240514051938.jpg,lost,467,( -88165),JAYANTA KUMAR DAS,Independent
7,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/GOLAM-2024-20240515045535.jpg,lost,442,( -88190),GOLAM JILANI KHAN,Bahujan Samaj Party
8,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SRIRA-2024-20240513041259.jpg,lost,225,( -88407),SRIRAM PANDEY,Independent
9,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SARAL-2024-20240514050753.jpg,lost,132,( -88500),SARALAPUTRA SHREERAM BINOD SARANGI,Samajwadi Party
10,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/DRDU-2024-20240514055132.jpg,lost,107,( -88525),DR. DURGA CHARAN NAYAK,Indian Citizens' Party
11,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/CHITT-2024-20240514054423.jpg,lost,96,( -88536),CHITTARANJAN  SAHOO,Odisha Janata Party
12,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/CHITT-2024-20240513034751.jpg,lost,88,( -88544),CHITTARANJAN ROUT,Utkal Samaj
13,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/PRADI-2024-20240514055639.jpg,lost,59,( -88573),PRADIPTA MOHANTY,SamruddhaOdisha
14,Odisha,Dharmasala(51),img/nota.jpg,,525,( -88107),NOTA,None of the Above
15,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/BIJAY-2024-20240506100807.jpg,won,86018,(+ 23479),BIJAYA KUMAR DALABEHERA,Independent
16,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/DEBIP-2024-20240430041929.jpg,lost,62539,( -23479),DEBIPRASAD MISHRA,Biju Janata Dal
17,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SAMBI-2024-20240503061042.jpg,lost,30755,( -55263),SAMBIT TRIPATHY,Bharatiya Janata Party
18,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/SANJA-2024-20240504051514.jpg,lost,2153,( -83865),SANJAYA KUMAR SAHOO,Indian National Congress
19,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/MANOJ-2024-20240502035406.jpg,lost,798,( -85220),MANOJ KUMAR NANDA,Independent
20,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/JUGAL-2024-20240504045750.jpg,lost,389,( -85629),JUGAL KISHOR ROUT,Independent
21,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SAROJ-2024-20240506093920.jpg,lost,380,( -85638),SAROJ KUMAR KARAN,Kalinga National Front
22,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/MANOR-2024-20240509084322.jpg,lost,376,( -85642),MANORANJAN BEHERA,National Apni Party
23,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/KAILA-2024-20240506082756.jpg,lost,355,( -85663),KAILASH CHANDRA NAYAK,SamruddhaOdisha
24,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/PRASA-2024-20240506113307.jpg,lost,216,( -85802),PRASAD KUMAR NAIK,Janta Darbar Party
25,Odisha,Dharmasala(51),img/nota.jpg,,966,( -85052),NOTA,None of the Above
26,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/HIMAN-2024-20240517073725.jpg,won,79759,(+ 4150),HIMANSHU SEKHAR SAHOO F-LATE RAMESH CHANDRA SAHOO,Independent
27,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/PRANA-2024-20240513045557.jpg,lost,75609,( -4150),PRANAB KUMAR BALABANTARAY,Biju Janata Dal
