SerialNo,ParliamentConstituency,WinningCandidate,TotalVotes,Margin
1,Buldhana(5),JADHAV PRATAPRAO GANPATRAO,349867,29479
2,Aurangabad(19),BHUMARE SANDIPANRAO ASARAM,476130,134650
3,Kalyan(24),DR SHRIKANT EKNATH SHINDE,589636,209144
4,Thane(25),NARESH GANPAT MHASKE,734231,217011
5,Mumbai North West(27),RAVINDRA DATTARAM WAIKAR,452644,48
6,Maval(33),SHRIRANG APPA CHANDU BARNE,692832,96615
7,Hatkanangale(48),DHAIRYASHEEL SAMBHAJIRAO MANE,520190,13426
1,Dhubri (2),RAKIBUL HUSSAIN,1471885,1012476
2,Nagaon(9),PRADYUT BORDOLOI,788850,212231
3,Jorhat(14),GAURAV GOGOI,751771,144393
4,Kishanganj(10),MOHAMMAD JAWED,402850,59692
5,Katihar(11),TARIQ ANWAR,567092,49863
6,Sasaram(34),MANOJ KUMAR,513004,19157
7,South Goa(2),CAPTAIN  VIRIATO FERNANDES,217836,13535
8,Banaskantha(2),GENIBEN NAGAJI THAKOR,671883,30406
9,AMBALA(1),VARUN CHAUDHRY,663657,49036
10,SIRSA(3),SELJA,733823,268497
11,HISAR(4),JAI PARKASH (J P) S/O HARIKESH,570424,63381
12,SONIPAT(6),SATPAL BRAHAMCHARI,548682,21816
13,ROHTAK(7),DEEPENDER SINGH HOODA,783578,345298
14,Chikkodi(1),PRIYANKA SATISH JARKIHOLI,713461,90834
15,Gulbarga(5),RADHAKRISHNA,652321,27205
16,Raichur(6),G. KUMAR NAIK.,670966,79781
17,Bidar(7),SAGAR ESHWAR KHANDRE,666317,128875
18,Koppal(8),K. RAJASHEKAR BASAVARAJ HITNAL,663511,46357
19,Bellary(9),E. TUKARAM,730845,98992
20,Davanagere(13),DR. PRABHA MALLIKARJUN,633059,26094
21,Hassan(16),SHREYAS. M. PATEL,672988,42649
22,Chamarajanagar(22),SUNIL BOSE,751671,188706
23,Kasaragod(1),RAJMOHAN UNNITHAN,490659,100649
24,Kannur(2),K. SUDHAKARAN,518524,108982
25,Vadakara(3),SHAFI PARAMBIL,557528,114506
26,Wayanad(4),RAHUL GANDHI,647445,364422
27,Kozhikode(5),M. K. RAGHAVAN,520421,146176
28,Palakkad(8),V K SREEKANDAN,421169,75283
29,Chalakudy(11),BENNY BEHANAN,394171,63754
30,Ernakulam(12),HIBI EDEN,482317,250385
