,Party,Won,Leading,Total
0,Bharatiya Janata Party - BJP,240,0,240
1,Indian National Congress - INC,99,0,99
2,Samajwadi Party - SP,37,0,37
3,All India Trinamool Congress - AITC,29,0,29
4,Dravida Munnetra Kazhagam - DMK,22,0,22
5,Telugu Desam - TDP,16,0,16
6,Janata Dal  (United) - JD(U),12,0,12
7,Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,9,0,9
8,Nationalist Congress Party – Sharadchandra Pawar - NCPSP,8,0,8
9,Shiv Sena - SHS,7,0,7
10,Lok Janshakti Party(Ram Vilas) - LJPRV,5,0,5
11,Yuvajana Sramika Rythu Congress Party - YSRCP,4,0,4
12,Rashtriya Janata Dal - RJD,4,0,4
13,Communist Party of India  (Marxist) - CPI(M),4,0,4
14,Indian Union Muslim League - IUML,3,0,3
15,Aam Aadmi Party - AAAP,3,0,3
16,Jharkhand Mukti Morcha - JMM,3,0,3
17,Janasena Party - JnP,2,0,2
18,Communist Party of India  (Marxist-Leninist)  (Liberation) - CPI(ML)(L),2,0,2
19,Janata Dal  (Secular) - JD(S),2,0,2
20,Viduthalai Chiruthaigal Katchi - VCK,2,0,2
21,Communist Party of India - CPI,2,0,2
22,Rashtriya Lok Dal - RLD,2,0,2
23,Jammu & Kashmir National Conference - JKN,2,0,2
24,"United People’s Party, Liberal - UPPL",1,0,1
25,Asom Gana Parishad - AGP,1,0,1
26,Hindustani Awam Morcha (Secular) - HAMS,1,0,1
27,Kerala Congress - KEC,1,0,1
28,Revolutionary Socialist Party - RSP,1,0,1
29,Nationalist Congress Party - NCP,1,0,1
30,Voice of the People Party - VOTPP,1,0,1
31,Zoram People’s Movement - ZPM,1,0,1
32,Shiromani Akali Dal - SAD,1,0,1
33,Rashtriya Loktantrik Party - RLTP,1,0,1
34,Bharat Adivasi Party - BHRTADVSIP,1,0,1
35,Sikkim Krantikari Morcha - SKM,1,0,1
36,Marumalarchi Dravida Munnetra Kazhagam - MDMK,1,0,1
37,Aazad Samaj Party (Kanshi Ram) - ASPKR,1,0,1
38,Apna Dal (Soneylal) - ADAL,1,0,1
39,AJSU Party - AJSUP,1,0,1
40,All India Majlis-E-Ittehadul Muslimeen - AIMIM,1,0,1
41,Independent - IND,7,0,7
