ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
7611,Arunachal Pradesh,Arunachal East(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TAPIR-2024-987.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/BOSIR-2024-1603.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TAMAT-2024-2012.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/SOTAI-2024-1650.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/OMAKN-2024-997.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/BANDE-2024-1976.jpg', 'img/nota.jpg']",won,145581,(+ 30421),TAPIR GAO,Bharatiya Janata Party
7612,Arunachal Pradesh,Arunachal East(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TAPIR-2024-987.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/BOSIR-2024-1603.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TAMAT-2024-2012.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/SOTAI-2024-1650.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/OMAKN-2024-997.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/BANDE-2024-1976.jpg', 'img/nota.jpg']",lost,115160,( -30421),BOSIRAM SIRAM,Indian National Congress
7613,Arunachal Pradesh,Arunachal East(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TAPIR-2024-987.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/BOSIR-2024-1603.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TAMAT-2024-2012.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/SOTAI-2024-1650.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/OMAKN-2024-997.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/BANDE-2024-1976.jpg', 'img/nota.jpg']",lost,27603,( -117978),TAMAT GAMOH,Independent
7614,Arunachal Pradesh,Arunachal East(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TAPIR-2024-987.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/BOSIR-2024-1603.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TAMAT-2024-2012.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/SOTAI-2024-1650.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/OMAKN-2024-997.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/BANDE-2024-1976.jpg', 'img/nota.jpg']",lost,14213,( -131368),SOTAI KRI,Independent
7615,Arunachal Pradesh,Arunachal East(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TAPIR-2024-987.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/BOSIR-2024-1603.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TAMAT-2024-2012.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/SOTAI-2024-1650.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/OMAKN-2024-997.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/BANDE-2024-1976.jpg', 'img/nota.jpg']",lost,9369,( -136212),OMAK NITIK,Independent
7616,Arunachal Pradesh,Arunachal East(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TAPIR-2024-987.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/BOSIR-2024-1603.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TAMAT-2024-2012.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/SOTAI-2024-1650.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/OMAKN-2024-997.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/BANDE-2024-1976.jpg', 'img/nota.jpg']",lost,6622,( -138959),BANDEY MILI,Arunachal Democratic Party
7617,Arunachal Pradesh,Arunachal East(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TAPIR-2024-987.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/BOSIR-2024-1603.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TAMAT-2024-2012.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/SOTAI-2024-1650.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/OMAKN-2024-997.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/BANDE-2024-1976.jpg', 'img/nota.jpg']",,4895,( -140686),NOTA,None of the Above
7650,Arunachal Pradesh,Arunachal West(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/KIREN-2024-933.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/NABAM-2024-961.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TECHI-2024-1628.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TOKOS-2024-973.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/BIMPA-2024-993.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/RUHIT-2024-1004.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/LEKIN-2024-1591.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TANIA-2024-177.jpg', 'img/nota.jpg']",won,205417,(+ 100738),KIREN RIJIJU,Bharatiya Janata Party
7651,Arunachal Pradesh,Arunachal West(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/KIREN-2024-933.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/NABAM-2024-961.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TECHI-2024-1628.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TOKOS-2024-973.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/BIMPA-2024-993.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/RUHIT-2024-1004.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/LEKIN-2024-1591.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TANIA-2024-177.jpg', 'img/nota.jpg']",lost,104679,( -100738),NABAM TUKI,Indian National Congress
7652,Arunachal Pradesh,Arunachal West(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/KIREN-2024-933.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/NABAM-2024-961.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TECHI-2024-1628.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TOKOS-2024-973.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/BIMPA-2024-993.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/RUHIT-2024-1004.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/LEKIN-2024-1591.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TANIA-2024-177.jpg', 'img/nota.jpg']",lost,33314,( -172103),TECHI RANA,Independent
