ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
7596,Assam,Barpeta(3),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/PHANI-2024-20240422060626.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEEPB-2024-20240422060546.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MANOR-2024-20240422060744.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABULK-2024-6334.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEWAN-2024-6439.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SAMEJ-2024-20240420031235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DULUA-2024-4901.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MATIA-2024-20240420025719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/JAGAN-2024-20240422061354.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SHAJA-2024-5578.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AYNAL-2024-6072.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/CHITR-2024-5585.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AMZAD-2024-20240422061140.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABUBA-2024-6266.jpg', 'img/nota.jpg']",won,860113,(+ 222351),PHANI BHUSAN CHOUDHURY,Asom Gana Parishad
7597,Assam,Barpeta(3),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/PHANI-2024-20240422060626.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEEPB-2024-20240422060546.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MANOR-2024-20240422060744.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABULK-2024-6334.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEWAN-2024-6439.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SAMEJ-2024-20240420031235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DULUA-2024-4901.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MATIA-2024-20240420025719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/JAGAN-2024-20240422061354.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SHAJA-2024-5578.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AYNAL-2024-6072.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/CHITR-2024-5585.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AMZAD-2024-20240422061140.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABUBA-2024-6266.jpg', 'img/nota.jpg']",lost,637762,( -222351),DEEP BAYAN,Indian National Congress
7598,Assam,Barpeta(3),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/PHANI-2024-20240422060626.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEEPB-2024-20240422060546.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MANOR-2024-20240422060744.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABULK-2024-6334.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEWAN-2024-6439.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SAMEJ-2024-20240420031235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DULUA-2024-4901.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MATIA-2024-20240420025719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/JAGAN-2024-20240422061354.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SHAJA-2024-5578.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AYNAL-2024-6072.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/CHITR-2024-5585.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AMZAD-2024-20240422061140.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABUBA-2024-6266.jpg', 'img/nota.jpg']",lost,96138,( -763975),MANORANJAN TALUKDAR,Communist Party of India  (Marxist)
7599,Assam,Barpeta(3),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/PHANI-2024-20240422060626.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEEPB-2024-20240422060546.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MANOR-2024-20240422060744.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABULK-2024-6334.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEWAN-2024-6439.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SAMEJ-2024-20240420031235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DULUA-2024-4901.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MATIA-2024-20240420025719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/JAGAN-2024-20240422061354.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SHAJA-2024-5578.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AYNAL-2024-6072.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/CHITR-2024-5585.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AMZAD-2024-20240422061140.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABUBA-2024-6266.jpg', 'img/nota.jpg']",lost,16432,( -843681),ABUL KALAM AZAD,All India Trinamool Congress
7600,Assam,Barpeta(3),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/PHANI-2024-20240422060626.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEEPB-2024-20240422060546.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MANOR-2024-20240422060744.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABULK-2024-6334.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEWAN-2024-6439.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SAMEJ-2024-20240420031235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DULUA-2024-4901.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MATIA-2024-20240420025719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/JAGAN-2024-20240422061354.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SHAJA-2024-5578.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AYNAL-2024-6072.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/CHITR-2024-5585.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AMZAD-2024-20240422061140.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABUBA-2024-6266.jpg', 'img/nota.jpg']",lost,9941,( -850172),DEWAN MOHIBUL ISLAM,Independent
7601,Assam,Barpeta(3),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/PHANI-2024-20240422060626.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEEPB-2024-20240422060546.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MANOR-2024-20240422060744.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABULK-2024-6334.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEWAN-2024-6439.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SAMEJ-2024-20240420031235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DULUA-2024-4901.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MATIA-2024-20240420025719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/JAGAN-2024-20240422061354.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SHAJA-2024-5578.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AYNAL-2024-6072.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/CHITR-2024-5585.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AMZAD-2024-20240422061140.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABUBA-2024-6266.jpg', 'img/nota.jpg']",lost,9692,( -850421),SAMEJ UDDIN,Bodoland Peoples Front
7602,Assam,Barpeta(3),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/PHANI-2024-20240422060626.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEEPB-2024-20240422060546.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MANOR-2024-20240422060744.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABULK-2024-6334.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEWAN-2024-6439.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SAMEJ-2024-20240420031235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DULUA-2024-4901.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MATIA-2024-20240420025719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/JAGAN-2024-20240422061354.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SHAJA-2024-5578.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AYNAL-2024-6072.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/CHITR-2024-5585.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AMZAD-2024-20240422061140.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABUBA-2024-6266.jpg', 'img/nota.jpg']",lost,9338,( -850775),DULU AHMED,Independent
7603,Assam,Barpeta(3),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/PHANI-2024-20240422060626.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEEPB-2024-20240422060546.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MANOR-2024-20240422060744.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABULK-2024-6334.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEWAN-2024-6439.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SAMEJ-2024-20240420031235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DULUA-2024-4901.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MATIA-2024-20240420025719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/JAGAN-2024-20240422061354.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SHAJA-2024-5578.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AYNAL-2024-6072.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/CHITR-2024-5585.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AMZAD-2024-20240422061140.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABUBA-2024-6266.jpg', 'img/nota.jpg']",lost,7935,( -852178),MATIAR RAHMAN,Independent
7604,Assam,Barpeta(3),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/PHANI-2024-20240422060626.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEEPB-2024-20240422060546.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MANOR-2024-20240422060744.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABULK-2024-6334.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEWAN-2024-6439.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SAMEJ-2024-20240420031235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DULUA-2024-4901.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MATIA-2024-20240420025719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/JAGAN-2024-20240422061354.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SHAJA-2024-5578.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AYNAL-2024-6072.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/CHITR-2024-5585.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AMZAD-2024-20240422061140.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABUBA-2024-6266.jpg', 'img/nota.jpg']",lost,5548,( -854565),JAGANNATH RAY,Independent
7605,Assam,Barpeta(3),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/PHANI-2024-20240422060626.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEEPB-2024-20240422060546.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MANOR-2024-20240422060744.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABULK-2024-6334.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEWAN-2024-6439.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SAMEJ-2024-20240420031235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DULUA-2024-4901.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MATIA-2024-20240420025719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/JAGAN-2024-20240422061354.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SHAJA-2024-5578.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AYNAL-2024-6072.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/CHITR-2024-5585.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AMZAD-2024-20240422061140.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABUBA-2024-6266.jpg', 'img/nota.jpg']",lost,4448,( -855665),SHAJAHAN ALI KHAN,Voters Party  International
