ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
7521,Bihar,Purnia(12),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/RAJES-2024-20240405033312.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/SANTO-2024-2465.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/BIMAB-2024-20240404082539.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/ARUAN-2024-3698.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/SATYE-2024-3667.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/NOMAN-2024-3754.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/KISHO-2024-3140.jpg', 'img/nota.jpg']",won,567556,(+ 23847),RAJESH RANJAN ALIAS PAPPU YADAV,Independent
7522,Bihar,Purnia(12),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/RAJES-2024-20240405033312.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/SANTO-2024-2465.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/BIMAB-2024-20240404082539.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/ARUAN-2024-3698.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/SATYE-2024-3667.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/NOMAN-2024-3754.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/KISHO-2024-3140.jpg', 'img/nota.jpg']",lost,543709,( -23847),SANTOSH KUMAR,Janata Dal  (United)
7523,Bihar,Purnia(12),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/RAJES-2024-20240405033312.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/SANTO-2024-2465.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/BIMAB-2024-20240404082539.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/ARUAN-2024-3698.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/SATYE-2024-3667.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/NOMAN-2024-3754.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/KISHO-2024-3140.jpg', 'img/nota.jpg']",lost,27120,( -540436),BIMA BHARTI,Rashtriya Janata Dal
7524,Bihar,Purnia(12),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/RAJES-2024-20240405033312.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/SANTO-2024-2465.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/BIMAB-2024-20240404082539.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/ARUAN-2024-3698.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/SATYE-2024-3667.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/NOMAN-2024-3754.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/KISHO-2024-3140.jpg', 'img/nota.jpg']",lost,10619,( -556937),ARUN DAS,Bahujan Samaj Party
7525,Bihar,Purnia(12),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/RAJES-2024-20240405033312.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/SANTO-2024-2465.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/BIMAB-2024-20240404082539.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/ARUAN-2024-3698.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/SATYE-2024-3667.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/NOMAN-2024-3754.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/KISHO-2024-3140.jpg', 'img/nota.jpg']",lost,8459,( -559097),SATYENDRA YADAV,Independent
7526,Bihar,Purnia(12),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/RAJES-2024-20240405033312.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/SANTO-2024-2465.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/BIMAB-2024-20240404082539.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/ARUAN-2024-3698.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/SATYE-2024-3667.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/NOMAN-2024-3754.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/KISHO-2024-3140.jpg', 'img/nota.jpg']",lost,7693,( -559863),NOMAN ALAM,Independent
7527,Bihar,Purnia(12),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/RAJES-2024-20240405033312.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/SANTO-2024-2465.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/BIMAB-2024-20240404082539.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/ARUAN-2024-3698.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/SATYE-2024-3667.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/NOMAN-2024-3754.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/KISHO-2024-3140.jpg', 'img/nota.jpg']",lost,6854,( -560702),KISHOR KUMAR YADAV,All India Forward Bloc
7528,Bihar,Purnia(12),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/RAJES-2024-20240405033312.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/SANTO-2024-2465.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/BIMAB-2024-20240404082539.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/ARUAN-2024-3698.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/SATYE-2024-3667.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/NOMAN-2024-3754.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/KISHO-2024-3140.jpg', 'img/nota.jpg']",,23834,( -543722),NOTA,None of the Above
7529,Bihar,Gaya(38),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/JITAN-2024-2429.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/KUMAR-2024-2432.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/SUSHM-2024-2466.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/DEVEN-2024-2502.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/DHEER-2024-2532.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/GIRDH-2024-2441.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/RANUK-2024-324.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/RANJA-2024-2506.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/AYUSH-2024-2461.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/SUREN-2024-2479.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/AMRES-2024-2529.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/ASHOK-2024-2527.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/ARUNK-2024-65.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/SHEOS-2024-2531.jpg', 'img/nota.jpg']",won,494960,(+ 101812),JITAN RAM MANJHI,Hindustani Awam Morcha (Secular)
7530,Bihar,Gaya(38),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/JITAN-2024-2429.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/KUMAR-2024-2432.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/SUSHM-2024-2466.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/DEVEN-2024-2502.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/DHEER-2024-2532.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/GIRDH-2024-2441.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/RANUK-2024-324.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/RANJA-2024-2506.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/AYUSH-2024-2461.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/SUREN-2024-2479.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/AMRES-2024-2529.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/ASHOK-2024-2527.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/ARUNK-2024-65.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S04/SHEOS-2024-2531.jpg', 'img/nota.jpg']",lost,393148,( -101812),KUMAR SARVJEET,Rashtriya Janata Dal
