ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
7501,Chandigarh,Chandigarh(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/MANIS-2024-12709.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SANJA-2024-12091.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RITUS-2024-12319.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/LAKHV-2024-12902.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/DEEPA-2024-12841.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RANPR-2024-12864.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/VINOD-2024-12769.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SUNIL-2024-12024.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/BALJE-2024-12991.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SUNIL-2024-12983.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PARTA-2024-11807.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAVIK-2024-12882.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/VIVEK-2024-12698.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PIARC-2024-12280.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/KISHO-2024-12809.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAJIN-2024-12691.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAJPR-2024-12678.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PUSHP-2024-20240510024436.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/KULDI-2024-12796.jpg', 'img/nota.jpg']",won,216657,(+ 2504),MANISH TEWARI,Indian National Congress
7502,Chandigarh,Chandigarh(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/MANIS-2024-12709.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SANJA-2024-12091.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RITUS-2024-12319.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/LAKHV-2024-12902.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/DEEPA-2024-12841.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RANPR-2024-12864.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/VINOD-2024-12769.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SUNIL-2024-12024.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/BALJE-2024-12991.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SUNIL-2024-12983.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PARTA-2024-11807.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAVIK-2024-12882.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/VIVEK-2024-12698.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PIARC-2024-12280.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/KISHO-2024-12809.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAJIN-2024-12691.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAJPR-2024-12678.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PUSHP-2024-20240510024436.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/KULDI-2024-12796.jpg', 'img/nota.jpg']",lost,214153,( -2504),SANJAY TANDON,Bharatiya Janata Party
7503,Chandigarh,Chandigarh(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/MANIS-2024-12709.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SANJA-2024-12091.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RITUS-2024-12319.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/LAKHV-2024-12902.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/DEEPA-2024-12841.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RANPR-2024-12864.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/VINOD-2024-12769.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SUNIL-2024-12024.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/BALJE-2024-12991.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SUNIL-2024-12983.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PARTA-2024-11807.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAVIK-2024-12882.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/VIVEK-2024-12698.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PIARC-2024-12280.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/KISHO-2024-12809.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAJIN-2024-12691.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAJPR-2024-12678.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PUSHP-2024-20240510024436.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/KULDI-2024-12796.jpg', 'img/nota.jpg']",lost,6708,( -209949),RITU SINGH,Bahujan Samaj Party
7504,Chandigarh,Chandigarh(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/MANIS-2024-12709.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SANJA-2024-12091.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RITUS-2024-12319.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/LAKHV-2024-12902.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/DEEPA-2024-12841.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RANPR-2024-12864.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/VINOD-2024-12769.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SUNIL-2024-12024.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/BALJE-2024-12991.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SUNIL-2024-12983.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PARTA-2024-11807.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAVIK-2024-12882.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/VIVEK-2024-12698.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PIARC-2024-12280.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/KISHO-2024-12809.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAJIN-2024-12691.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAJPR-2024-12678.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PUSHP-2024-20240510024436.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/KULDI-2024-12796.jpg', 'img/nota.jpg']",lost,2626,( -214031),LAKHVIR SINGH ALIAS KOTLA,Independent
7505,Chandigarh,Chandigarh(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/MANIS-2024-12709.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SANJA-2024-12091.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RITUS-2024-12319.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/LAKHV-2024-12902.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/DEEPA-2024-12841.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RANPR-2024-12864.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/VINOD-2024-12769.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SUNIL-2024-12024.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/BALJE-2024-12991.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SUNIL-2024-12983.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PARTA-2024-11807.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAVIK-2024-12882.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/VIVEK-2024-12698.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PIARC-2024-12280.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/KISHO-2024-12809.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAJIN-2024-12691.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAJPR-2024-12678.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PUSHP-2024-20240510024436.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/KULDI-2024-12796.jpg', 'img/nota.jpg']",lost,1068,( -215589),DEEPANSHU SHARMA,Akhil Bhartiya Parivar Party
7506,Chandigarh,Chandigarh(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/MANIS-2024-12709.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SANJA-2024-12091.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RITUS-2024-12319.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/LAKHV-2024-12902.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/DEEPA-2024-12841.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RANPR-2024-12864.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/VINOD-2024-12769.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SUNIL-2024-12024.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/BALJE-2024-12991.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SUNIL-2024-12983.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PARTA-2024-11807.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAVIK-2024-12882.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/VIVEK-2024-12698.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PIARC-2024-12280.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/KISHO-2024-12809.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAJIN-2024-12691.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAJPR-2024-12678.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PUSHP-2024-20240510024436.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/KULDI-2024-12796.jpg', 'img/nota.jpg']",lost,1054,( -215603),EX-ASSISTANT COMMANDANT RANPREET SINGH,Independent
7507,Chandigarh,Chandigarh(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/MANIS-2024-12709.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SANJA-2024-12091.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RITUS-2024-12319.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/LAKHV-2024-12902.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/DEEPA-2024-12841.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RANPR-2024-12864.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/VINOD-2024-12769.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SUNIL-2024-12024.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/BALJE-2024-12991.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SUNIL-2024-12983.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PARTA-2024-11807.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAVIK-2024-12882.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/VIVEK-2024-12698.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PIARC-2024-12280.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/KISHO-2024-12809.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAJIN-2024-12691.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAJPR-2024-12678.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PUSHP-2024-20240510024436.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/KULDI-2024-12796.jpg', 'img/nota.jpg']",lost,683,( -215974),VINOD KUMAR,Independent
7508,Chandigarh,Chandigarh(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/MANIS-2024-12709.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SANJA-2024-12091.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RITUS-2024-12319.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/LAKHV-2024-12902.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/DEEPA-2024-12841.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RANPR-2024-12864.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/VINOD-2024-12769.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SUNIL-2024-12024.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/BALJE-2024-12991.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SUNIL-2024-12983.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PARTA-2024-11807.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAVIK-2024-12882.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/VIVEK-2024-12698.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PIARC-2024-12280.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/KISHO-2024-12809.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAJIN-2024-12691.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAJPR-2024-12678.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PUSHP-2024-20240510024436.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/KULDI-2024-12796.jpg', 'img/nota.jpg']",lost,577,( -216080),SUNIL THAMAN,Haryana Jansena Party
7509,Chandigarh,Chandigarh(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/MANIS-2024-12709.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SANJA-2024-12091.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RITUS-2024-12319.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/LAKHV-2024-12902.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/DEEPA-2024-12841.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RANPR-2024-12864.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/VINOD-2024-12769.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SUNIL-2024-12024.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/BALJE-2024-12991.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SUNIL-2024-12983.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PARTA-2024-11807.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAVIK-2024-12882.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/VIVEK-2024-12698.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PIARC-2024-12280.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/KISHO-2024-12809.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAJIN-2024-12691.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAJPR-2024-12678.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PUSHP-2024-20240510024436.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/KULDI-2024-12796.jpg', 'img/nota.jpg']",lost,436,( -216221),BALJEET SINGH ALIAS LADDI,Independent
7510,Chandigarh,Chandigarh(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/MANIS-2024-12709.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SANJA-2024-12091.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RITUS-2024-12319.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/LAKHV-2024-12902.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/DEEPA-2024-12841.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RANPR-2024-12864.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/VINOD-2024-12769.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SUNIL-2024-12024.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/BALJE-2024-12991.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/SUNIL-2024-12983.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PARTA-2024-11807.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAVIK-2024-12882.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/VIVEK-2024-12698.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PIARC-2024-12280.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/KISHO-2024-12809.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAJIN-2024-12691.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/RAJPR-2024-12678.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/PUSHP-2024-20240510024436.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U02/KULDI-2024-12796.jpg', 'img/nota.jpg']",lost,321,( -216336),SUNIL KUMAR,Independent
