ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
7487,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/PATEL-2024-20240422075948.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/LALUB-2024-4553.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/KETAN-2024-20240422075629.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/UMESH-2024-20240422075923.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/SAKIL-2024-6553.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/IDRIS-2024-6581.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/PATEL-2024-6610.jpg', 'img/nota.jpg']",won,42523,(+ 6225),PATEL UMESHBHAI BABUBHAI,Independent
7488,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/PATEL-2024-20240422075948.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/LALUB-2024-4553.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/KETAN-2024-20240422075629.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/UMESH-2024-20240422075923.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/SAKIL-2024-6553.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/IDRIS-2024-6581.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/PATEL-2024-6610.jpg', 'img/nota.jpg']",lost,36298,( -6225),LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party
7489,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/PATEL-2024-20240422075948.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/LALUB-2024-4553.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/KETAN-2024-20240422075629.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/UMESH-2024-20240422075923.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/SAKIL-2024-6553.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/IDRIS-2024-6581.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/PATEL-2024-6610.jpg', 'img/nota.jpg']",lost,11258,( -31265),KETAN DAHYABHAI PATEL,Indian National Congress
7490,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/PATEL-2024-20240422075948.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/LALUB-2024-4553.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/KETAN-2024-20240422075629.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/UMESH-2024-20240422075923.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/SAKIL-2024-6553.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/IDRIS-2024-6581.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/PATEL-2024-6610.jpg', 'img/nota.jpg']",lost,545,( -41978),UMESH PATEL,Navsarjan Bharat Party
7491,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/PATEL-2024-20240422075948.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/LALUB-2024-4553.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/KETAN-2024-20240422075629.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/UMESH-2024-20240422075923.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/SAKIL-2024-6553.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/IDRIS-2024-6581.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/PATEL-2024-6610.jpg', 'img/nota.jpg']",lost,323,( -42200),SAKIL LATIF KHAN,Independent
7492,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/PATEL-2024-20240422075948.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/LALUB-2024-4553.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/KETAN-2024-20240422075629.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/UMESH-2024-20240422075923.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/SAKIL-2024-6553.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/IDRIS-2024-6581.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/PATEL-2024-6610.jpg', 'img/nota.jpg']",lost,247,( -42276),IDRISH G MULLA,Independent
7493,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/PATEL-2024-20240422075948.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/LALUB-2024-4553.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/KETAN-2024-20240422075629.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/UMESH-2024-20240422075923.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/SAKIL-2024-6553.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/IDRIS-2024-6581.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/PATEL-2024-6610.jpg', 'img/nota.jpg']",lost,238,( -42285),PATEL UMESHBHAI BABU,Independent
7494,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/PATEL-2024-20240422075948.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/LALUB-2024-4553.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/KETAN-2024-20240422075629.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/UMESH-2024-20240422075923.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/SAKIL-2024-6553.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/IDRIS-2024-6581.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/PATEL-2024-6610.jpg', 'img/nota.jpg']",,978,( -41545),NOTA,None of the Above
7495,Dadra & Nagar Haveli and Daman & Diu,Dadar & Nagar Haveli(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/DELKA-2024-4745.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/AJITR-2024-6040.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/KURAD-2024-4481.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/BORSA-2024-5253.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/SHAIL-2024-6029.jpg', 'img/nota.jpg']",won,121074,(+ 57584),DELKAR KALABEN MOHANBHAI,Bharatiya Janata Party
7496,Dadra & Nagar Haveli and Daman & Diu,Dadar & Nagar Haveli(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/DELKA-2024-4745.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/AJITR-2024-6040.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/KURAD-2024-4481.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/BORSA-2024-5253.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U03/SHAIL-2024-6029.jpg', 'img/nota.jpg']",lost,63490,( -57584),AJIT RAMJIBHAI MAHALA,Indian National Congress
