ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
7431,Goa,South Goa(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/CAPTA-2024-20240417010215.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/PALLA-2024-20240416034235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/RUBER-2024-20240418035511.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/DRSWE-2024-20240419025934.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/DEEPK-2024-20240420125408.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/KALID-2024-5187.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/ALEXY-2024-20240417034317.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/HARIS-2024-20240419050930.jpg', 'img/nota.jpg']",won,217836,(+ 13535),CAPTAIN  VIRIATO FERNANDES,Indian National Congress
7432,Goa,South Goa(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/CAPTA-2024-20240417010215.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/PALLA-2024-20240416034235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/RUBER-2024-20240418035511.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/DRSWE-2024-20240419025934.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/DEEPK-2024-20240420125408.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/KALID-2024-5187.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/ALEXY-2024-20240417034317.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/HARIS-2024-20240419050930.jpg', 'img/nota.jpg']",lost,204301,( -13535),PALLAVI SHRINIVAS DEMPO,Bharatiya Janata Party
7433,Goa,South Goa(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/CAPTA-2024-20240417010215.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/PALLA-2024-20240416034235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/RUBER-2024-20240418035511.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/DRSWE-2024-20240419025934.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/DEEPK-2024-20240420125408.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/KALID-2024-5187.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/ALEXY-2024-20240417034317.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/HARIS-2024-20240419050930.jpg', 'img/nota.jpg']",lost,18885,( -198951),RUBERT PEREIRA,Revolutionary Goans Party
7434,Goa,South Goa(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/CAPTA-2024-20240417010215.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/PALLA-2024-20240416034235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/RUBER-2024-20240418035511.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/DRSWE-2024-20240419025934.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/DEEPK-2024-20240420125408.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/KALID-2024-5187.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/ALEXY-2024-20240417034317.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/HARIS-2024-20240419050930.jpg', 'img/nota.jpg']",lost,1581,( -216255),DR SWETA GAONKAR,Bahujan Samaj Party
7435,Goa,South Goa(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/CAPTA-2024-20240417010215.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/PALLA-2024-20240416034235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/RUBER-2024-20240418035511.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/DRSWE-2024-20240419025934.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/DEEPK-2024-20240420125408.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/KALID-2024-5187.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/ALEXY-2024-20240417034317.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/HARIS-2024-20240419050930.jpg', 'img/nota.jpg']",lost,1317,( -216519),DEEPKUMAR D MAPARI,Independent
7436,Goa,South Goa(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/CAPTA-2024-20240417010215.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/PALLA-2024-20240416034235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/RUBER-2024-20240418035511.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/DRSWE-2024-20240419025934.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/DEEPK-2024-20240420125408.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/KALID-2024-5187.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/ALEXY-2024-20240417034317.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/HARIS-2024-20240419050930.jpg', 'img/nota.jpg']",lost,720,( -217116),DR KALIDAS VAINGANKAR,Independent
7437,Goa,South Goa(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/CAPTA-2024-20240417010215.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/PALLA-2024-20240416034235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/RUBER-2024-20240418035511.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/DRSWE-2024-20240419025934.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/DEEPK-2024-20240420125408.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/KALID-2024-5187.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/ALEXY-2024-20240417034317.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/HARIS-2024-20240419050930.jpg', 'img/nota.jpg']",lost,542,( -217294),ALEXY FERNANDES,Independent
7438,Goa,South Goa(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/CAPTA-2024-20240417010215.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/PALLA-2024-20240416034235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/RUBER-2024-20240418035511.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/DRSWE-2024-20240419025934.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/DEEPK-2024-20240420125408.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/KALID-2024-5187.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/ALEXY-2024-20240417034317.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/HARIS-2024-20240419050930.jpg', 'img/nota.jpg']",lost,501,( -217335),HARISHCHANDRA SUDHAKAR NAIK,Corruption Abolition Party
7439,Goa,South Goa(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/CAPTA-2024-20240417010215.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/PALLA-2024-20240416034235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/RUBER-2024-20240418035511.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/DRSWE-2024-20240419025934.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/DEEPK-2024-20240420125408.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/KALID-2024-5187.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/ALEXY-2024-20240417034317.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/HARIS-2024-20240419050930.jpg', 'img/nota.jpg']",,4837,( -212999),NOTA,None of the Above
7440,Goa,North Goa(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/SHRIP-2024-4718.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/RAMAK-2024-5011.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/TUKAR-2024-5133.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/MILAN-2024-5894.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/MRSAK-2024-5079.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/SHAKE-2024-6206.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/THOMA-2024-5222.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S05/ADVVI-2024-4700.jpg', 'img/nota.jpg']",won,257326,(+ 116015),SHRIPAD YESSO NAIK,Bharatiya Janata Party
