ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
3392,Gujarat,Banaskantha(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/GENIB-2024-4603.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/REKHA-2024-4747.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/MANSU-2024-4640.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/RATHO-2024-6343.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/SHRIM-2024-4663.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/JASUB-2024-5335.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PATEL-2024-5918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/BAJAG-2024-6208.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PRAVI-2024-6455.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/IBRAH-2024-5349.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PARMA-2024-4654.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/CHETA-2024-6473.jpg', 'img/nota.jpg']",won,671883,(+ 30406),GENIBEN NAGAJI THAKOR,Indian National Congress
3393,Gujarat,Banaskantha(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/GENIB-2024-4603.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/REKHA-2024-4747.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/MANSU-2024-4640.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/RATHO-2024-6343.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/SHRIM-2024-4663.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/JASUB-2024-5335.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PATEL-2024-5918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/BAJAG-2024-6208.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PRAVI-2024-6455.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/IBRAH-2024-5349.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PARMA-2024-4654.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/CHETA-2024-6473.jpg', 'img/nota.jpg']",lost,641477,( -30406),DR. REKHABEN HITESHBHAI CHAUDHARI,Bharatiya Janata Party
3394,Gujarat,Banaskantha(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/GENIB-2024-4603.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/REKHA-2024-4747.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/MANSU-2024-4640.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/RATHO-2024-6343.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/SHRIM-2024-4663.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/JASUB-2024-5335.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PATEL-2024-5918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/BAJAG-2024-6208.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PRAVI-2024-6455.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/IBRAH-2024-5349.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PARMA-2024-4654.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/CHETA-2024-6473.jpg', 'img/nota.jpg']",lost,9929,( -661954),MANSUNGBHAI MASHRUBHAI PARMAR,Bahujan Samaj Party
3395,Gujarat,Banaskantha(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/GENIB-2024-4603.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/REKHA-2024-4747.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/MANSU-2024-4640.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/RATHO-2024-6343.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/SHRIM-2024-4663.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/JASUB-2024-5335.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PATEL-2024-5918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/BAJAG-2024-6208.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PRAVI-2024-6455.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/IBRAH-2024-5349.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PARMA-2024-4654.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/CHETA-2024-6473.jpg', 'img/nota.jpg']",lost,7696,( -664187),RATHOD MAVJI BHEMAJI,Independent
3396,Gujarat,Banaskantha(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/GENIB-2024-4603.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/REKHA-2024-4747.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/MANSU-2024-4640.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/RATHO-2024-6343.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/SHRIM-2024-4663.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/JASUB-2024-5335.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PATEL-2024-5918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/BAJAG-2024-6208.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PRAVI-2024-6455.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/IBRAH-2024-5349.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PARMA-2024-4654.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/CHETA-2024-6473.jpg', 'img/nota.jpg']",lost,5481,( -666402),SHRIMALI ASHOKBHAI BALCHANDBHAI,Independent
3397,Gujarat,Banaskantha(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/GENIB-2024-4603.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/REKHA-2024-4747.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/MANSU-2024-4640.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/RATHO-2024-6343.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/SHRIM-2024-4663.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/JASUB-2024-5335.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PATEL-2024-5918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/BAJAG-2024-6208.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PRAVI-2024-6455.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/IBRAH-2024-5349.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PARMA-2024-4654.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/CHETA-2024-6473.jpg', 'img/nota.jpg']",lost,4626,( -667257),JASUBHAI GAMAR,Bharat Adivasi Party
3398,Gujarat,Banaskantha(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/GENIB-2024-4603.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/REKHA-2024-4747.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/MANSU-2024-4640.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/RATHO-2024-6343.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/SHRIM-2024-4663.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/JASUB-2024-5335.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PATEL-2024-5918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/BAJAG-2024-6208.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PRAVI-2024-6455.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/IBRAH-2024-5349.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PARMA-2024-4654.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/CHETA-2024-6473.jpg', 'img/nota.jpg']",lost,3513,( -668370),PATEL PIYUSHBHAI KARSHANBHAI,Bharatiya Yuva Jan Ekta Party
3399,Gujarat,Banaskantha(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/GENIB-2024-4603.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/REKHA-2024-4747.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/MANSU-2024-4640.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/RATHO-2024-6343.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/SHRIM-2024-4663.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/JASUB-2024-5335.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PATEL-2024-5918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/BAJAG-2024-6208.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PRAVI-2024-6455.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/IBRAH-2024-5349.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PARMA-2024-4654.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/CHETA-2024-6473.jpg', 'img/nota.jpg']",lost,3009,( -668874),BAJAG LASHABHAI LAVAJIBHAI,Independent
3400,Gujarat,Banaskantha(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/GENIB-2024-4603.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/REKHA-2024-4747.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/MANSU-2024-4640.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/RATHO-2024-6343.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/SHRIM-2024-4663.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/JASUB-2024-5335.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PATEL-2024-5918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/BAJAG-2024-6208.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PRAVI-2024-6455.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/IBRAH-2024-5349.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PARMA-2024-4654.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/CHETA-2024-6473.jpg', 'img/nota.jpg']",lost,1823,( -670060),PRAVINBHAI ISHVARBHAI CHAUHAN,Swatantrata Abhivyakti Party
3401,Gujarat,Banaskantha(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/GENIB-2024-4603.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/REKHA-2024-4747.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/MANSU-2024-4640.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/RATHO-2024-6343.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/SHRIM-2024-4663.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/JASUB-2024-5335.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PATEL-2024-5918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/BAJAG-2024-6208.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PRAVI-2024-6455.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/IBRAH-2024-5349.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/PARMA-2024-4654.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S06/CHETA-2024-6473.jpg', 'img/nota.jpg']",lost,1591,( -670292),IBRAHIMBHAI PARASANI,Independent
