ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
3361,Himachal Pradesh,SHIMLA(4),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SURES-2024-12330.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/VINOD-2024-20240513042021.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/ANILK-2024-11740.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SURES-2024-11895.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/MADAN-2024-12108.jpg', 'img/nota.jpg']",won,519748,(+ 91451),Suresh Kumar Kashyap,Bharatiya Janata Party
3362,Himachal Pradesh,SHIMLA(4),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SURES-2024-12330.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/VINOD-2024-20240513042021.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/ANILK-2024-11740.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SURES-2024-11895.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/MADAN-2024-12108.jpg', 'img/nota.jpg']",lost,428297,( -91451),Vinod Sultanpuri,Indian National Congress
3363,Himachal Pradesh,SHIMLA(4),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SURES-2024-12330.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/VINOD-2024-20240513042021.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/ANILK-2024-11740.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SURES-2024-11895.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/MADAN-2024-12108.jpg', 'img/nota.jpg']",lost,6500,( -513248),Anil Kumar Manget,Bahujan Samaj Party
3364,Himachal Pradesh,SHIMLA(4),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SURES-2024-12330.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/VINOD-2024-20240513042021.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/ANILK-2024-11740.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SURES-2024-11895.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/MADAN-2024-12108.jpg', 'img/nota.jpg']",lost,4814,( -514934),Suresh Kumar,Rashtriya Devbhumi Party
3365,Himachal Pradesh,SHIMLA(4),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SURES-2024-12330.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/VINOD-2024-20240513042021.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/ANILK-2024-11740.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SURES-2024-11895.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/MADAN-2024-12108.jpg', 'img/nota.jpg']",lost,4676,( -515072),Madan Lal,Akhil Bhartiya Parivar Party
3366,Himachal Pradesh,SHIMLA(4),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SURES-2024-12330.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/VINOD-2024-20240513042021.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/ANILK-2024-11740.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SURES-2024-11895.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/MADAN-2024-12108.jpg', 'img/nota.jpg']",,5930,( -513818),NOTA,None of the Above
3998,Himachal Pradesh,HAMIRPUR(3),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/ANURA-2024-20240515065214.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SATPA-2024-20240515065150.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/HEMRA-2024-20240515064147.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/JAGDE-2024-20240515065353.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SUREN-2024-20240515074857.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/KULWA-2024-20240515065133.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/NANDL-2024-20240515072337.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SUMIT-2024-20240515065845.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/RAMES-2024-20240515073312.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/ARUNA-2024-20240515064551.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/GARIB-2024-20240515070745.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/GOPIC-2024-20240515071030.jpg', 'img/nota.jpg']",won,607068,(+ 182357),ANURAG SINGH THAKUR,Bharatiya Janata Party
3999,Himachal Pradesh,HAMIRPUR(3),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/ANURA-2024-20240515065214.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SATPA-2024-20240515065150.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/HEMRA-2024-20240515064147.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/JAGDE-2024-20240515065353.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SUREN-2024-20240515074857.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/KULWA-2024-20240515065133.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/NANDL-2024-20240515072337.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SUMIT-2024-20240515065845.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/RAMES-2024-20240515073312.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/ARUNA-2024-20240515064551.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/GARIB-2024-20240515070745.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/GOPIC-2024-20240515071030.jpg', 'img/nota.jpg']",lost,424711,( -182357),SATPAL RAIZADA,Indian National Congress
4000,Himachal Pradesh,HAMIRPUR(3),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/ANURA-2024-20240515065214.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SATPA-2024-20240515065150.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/HEMRA-2024-20240515064147.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/JAGDE-2024-20240515065353.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SUREN-2024-20240515074857.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/KULWA-2024-20240515065133.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/NANDL-2024-20240515072337.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SUMIT-2024-20240515065845.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/RAMES-2024-20240515073312.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/ARUNA-2024-20240515064551.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/GARIB-2024-20240515070745.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/GOPIC-2024-20240515071030.jpg', 'img/nota.jpg']",lost,2758,( -604310),HEM RAJ,Bahujan Samaj Party
4001,Himachal Pradesh,HAMIRPUR(3),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/ANURA-2024-20240515065214.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SATPA-2024-20240515065150.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/HEMRA-2024-20240515064147.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/JAGDE-2024-20240515065353.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SUREN-2024-20240515074857.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/KULWA-2024-20240515065133.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/NANDL-2024-20240515072337.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SUMIT-2024-20240515065845.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/RAMES-2024-20240515073312.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/ARUNA-2024-20240515064551.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/GARIB-2024-20240515070745.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/GOPIC-2024-20240515071030.jpg', 'img/nota.jpg']",lost,1764,( -605304),JAGDEEP KUMAR,Rashtriya Devbhumi Party
