ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
197,Jharkhand,Giridih(6),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/CHAND-2024-11230.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/MATHU-2024-11139.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/JAIRA-2024-9627.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/KAMAL-2024-11054.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SUBOD-2024-9659.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/RAMES-2024-10283.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SUNIT-2024-10357.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/MDAIN-2024-11540.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/DWARA-2024-10196.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/KALAW-2024-20240507023956.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/GYANE-2024-11499.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SHIVJ-2024-9752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/PRAMO-2024-9786.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/USHAS-2024-9421.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/PAPPU-2024-10971.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/1714553073WhatsAppImage2024-04-29at100537577de179ok.jpg', 'img/nota.jpg']",won,451139,(+ 80880),CHANDRA PRAKASH CHOUDHARY,AJSU Party
198,Jharkhand,Giridih(6),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/CHAND-2024-11230.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/MATHU-2024-11139.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/JAIRA-2024-9627.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/KAMAL-2024-11054.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SUBOD-2024-9659.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/RAMES-2024-10283.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SUNIT-2024-10357.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/MDAIN-2024-11540.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/DWARA-2024-10196.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/KALAW-2024-20240507023956.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/GYANE-2024-11499.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SHIVJ-2024-9752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/PRAMO-2024-9786.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/USHAS-2024-9421.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/PAPPU-2024-10971.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/1714553073WhatsAppImage2024-04-29at100537577de179ok.jpg', 'img/nota.jpg']",lost,370259,( -80880),MATHURA PRASAD MAHATO,Jharkhand Mukti Morcha
199,Jharkhand,Giridih(6),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/CHAND-2024-11230.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/MATHU-2024-11139.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/JAIRA-2024-9627.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/KAMAL-2024-11054.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SUBOD-2024-9659.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/RAMES-2024-10283.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SUNIT-2024-10357.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/MDAIN-2024-11540.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/DWARA-2024-10196.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/KALAW-2024-20240507023956.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/GYANE-2024-11499.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SHIVJ-2024-9752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/PRAMO-2024-9786.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/USHAS-2024-9421.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/PAPPU-2024-10971.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/1714553073WhatsAppImage2024-04-29at100537577de179ok.jpg', 'img/nota.jpg']",lost,347322,( -103817),JAIRAM KUMAR MAHATO,Independent
200,Jharkhand,Giridih(6),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/CHAND-2024-11230.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/MATHU-2024-11139.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/JAIRA-2024-9627.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/KAMAL-2024-11054.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SUBOD-2024-9659.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/RAMES-2024-10283.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SUNIT-2024-10357.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/MDAIN-2024-11540.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/DWARA-2024-10196.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/KALAW-2024-20240507023956.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/GYANE-2024-11499.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SHIVJ-2024-9752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/PRAMO-2024-9786.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/USHAS-2024-9421.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/PAPPU-2024-10971.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/1714553073WhatsAppImage2024-04-29at100537577de179ok.jpg', 'img/nota.jpg']",lost,14074,( -437065),KAMAL PRASAD,Bahujan Samaj Party
201,Jharkhand,Giridih(6),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/CHAND-2024-11230.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/MATHU-2024-11139.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/JAIRA-2024-9627.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/KAMAL-2024-11054.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SUBOD-2024-9659.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/RAMES-2024-10283.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SUNIT-2024-10357.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/MDAIN-2024-11540.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/DWARA-2024-10196.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/KALAW-2024-20240507023956.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/GYANE-2024-11499.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SHIVJ-2024-9752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/PRAMO-2024-9786.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/USHAS-2024-9421.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/PAPPU-2024-10971.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/1714553073WhatsAppImage2024-04-29at100537577de179ok.jpg', 'img/nota.jpg']",lost,13106,( -438033),SUBODH KUMAR YADAV,Independent
202,Jharkhand,Giridih(6),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/CHAND-2024-11230.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/MATHU-2024-11139.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/JAIRA-2024-9627.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/KAMAL-2024-11054.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SUBOD-2024-9659.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/RAMES-2024-10283.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SUNIT-2024-10357.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/MDAIN-2024-11540.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/DWARA-2024-10196.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/KALAW-2024-20240507023956.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/GYANE-2024-11499.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SHIVJ-2024-9752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/PRAMO-2024-9786.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/USHAS-2024-9421.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/PAPPU-2024-10971.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/1714553073WhatsAppImage2024-04-29at100537577de179ok.jpg', 'img/nota.jpg']",lost,11020,( -440119),RAMESHWAR DUSADH,Independent
203,Jharkhand,Giridih(6),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/CHAND-2024-11230.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/MATHU-2024-11139.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/JAIRA-2024-9627.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/KAMAL-2024-11054.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SUBOD-2024-9659.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/RAMES-2024-10283.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SUNIT-2024-10357.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/MDAIN-2024-11540.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/DWARA-2024-10196.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/KALAW-2024-20240507023956.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/GYANE-2024-11499.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SHIVJ-2024-9752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/PRAMO-2024-9786.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/USHAS-2024-9421.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/PAPPU-2024-10971.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/1714553073WhatsAppImage2024-04-29at100537577de179ok.jpg', 'img/nota.jpg']",lost,10944,( -440195),SUNITA TUDU,Independent
204,Jharkhand,Giridih(6),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/CHAND-2024-11230.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/MATHU-2024-11139.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/JAIRA-2024-9627.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/KAMAL-2024-11054.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SUBOD-2024-9659.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/RAMES-2024-10283.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SUNIT-2024-10357.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/MDAIN-2024-11540.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/DWARA-2024-10196.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/KALAW-2024-20240507023956.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/GYANE-2024-11499.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SHIVJ-2024-9752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/PRAMO-2024-9786.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/USHAS-2024-9421.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/PAPPU-2024-10971.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/1714553073WhatsAppImage2024-04-29at100537577de179ok.jpg', 'img/nota.jpg']",lost,6939,( -444200),MD AINUL ANSARI,Bahujan Mukti Party
205,Jharkhand,Giridih(6),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/CHAND-2024-11230.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/MATHU-2024-11139.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/JAIRA-2024-9627.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/KAMAL-2024-11054.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SUBOD-2024-9659.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/RAMES-2024-10283.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SUNIT-2024-10357.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/MDAIN-2024-11540.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/DWARA-2024-10196.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/KALAW-2024-20240507023956.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/GYANE-2024-11499.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SHIVJ-2024-9752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/PRAMO-2024-9786.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/USHAS-2024-9421.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/PAPPU-2024-10971.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/1714553073WhatsAppImage2024-04-29at100537577de179ok.jpg', 'img/nota.jpg']",lost,5627,( -445512),DWARAKA PRASAD LALA,Independent
206,Jharkhand,Giridih(6),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/CHAND-2024-11230.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/MATHU-2024-11139.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/JAIRA-2024-9627.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/KAMAL-2024-11054.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SUBOD-2024-9659.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/RAMES-2024-10283.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SUNIT-2024-10357.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/MDAIN-2024-11540.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/DWARA-2024-10196.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/KALAW-2024-20240507023956.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/GYANE-2024-11499.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SHIVJ-2024-9752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/PRAMO-2024-9786.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/USHAS-2024-9421.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/PAPPU-2024-10971.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/1714553073WhatsAppImage2024-04-29at100537577de179ok.jpg', 'img/nota.jpg']",lost,5430,( -445709),KALAWATI DEVI,Independent
