ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
165,Kerala,Kollam(18),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/NKPRE-2024-3529.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/MMUKE-2024-2438.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/KRISH-2024-20240408055213.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/VIPIN-2024-3193.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PREMA-2024-3876.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/SURES-2024-2462.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PRADE-2024-3228.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/TWINK-2024-2501.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/NOUSH-2024-2766.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/JOSE-2024-2878.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PKRIS-2024-2838.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/JAYAR-2024-2751.jpg', 'img/nota.jpg']",won,443628,(+ 150302),N K PREMACHANDRAN,Revolutionary Socialist Party
166,Kerala,Kollam(18),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/NKPRE-2024-3529.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/MMUKE-2024-2438.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/KRISH-2024-20240408055213.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/VIPIN-2024-3193.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PREMA-2024-3876.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/SURES-2024-2462.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PRADE-2024-3228.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/TWINK-2024-2501.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/NOUSH-2024-2766.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/JOSE-2024-2878.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PKRIS-2024-2838.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/JAYAR-2024-2751.jpg', 'img/nota.jpg']",lost,293326,( -150302),M MUKESH,Communist Party of India  (Marxist)
167,Kerala,Kollam(18),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/NKPRE-2024-3529.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/MMUKE-2024-2438.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/KRISH-2024-20240408055213.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/VIPIN-2024-3193.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PREMA-2024-3876.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/SURES-2024-2462.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PRADE-2024-3228.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/TWINK-2024-2501.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/NOUSH-2024-2766.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/JOSE-2024-2878.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PKRIS-2024-2838.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/JAYAR-2024-2751.jpg', 'img/nota.jpg']",lost,163210,( -280418),KRISHNAKUMAR G,Bharatiya Janata Party
168,Kerala,Kollam(18),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/NKPRE-2024-3529.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/MMUKE-2024-2438.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/KRISH-2024-20240408055213.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/VIPIN-2024-3193.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PREMA-2024-3876.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/SURES-2024-2462.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PRADE-2024-3228.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/TWINK-2024-2501.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/NOUSH-2024-2766.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/JOSE-2024-2878.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PKRIS-2024-2838.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/JAYAR-2024-2751.jpg', 'img/nota.jpg']",lost,2194,( -441434),VIPINLAL VIDHYADHARAN,Bahujan Samaj Party
169,Kerala,Kollam(18),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/NKPRE-2024-3529.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/MMUKE-2024-2438.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/KRISH-2024-20240408055213.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/VIPIN-2024-3193.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PREMA-2024-3876.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/SURES-2024-2462.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PRADE-2024-3228.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/TWINK-2024-2501.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/NOUSH-2024-2766.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/JOSE-2024-2878.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PKRIS-2024-2838.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/JAYAR-2024-2751.jpg', 'img/nota.jpg']",lost,1734,( -441894),PREMACHANDRAN NAIR,Independent
170,Kerala,Kollam(18),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/NKPRE-2024-3529.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/MMUKE-2024-2438.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/KRISH-2024-20240408055213.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/VIPIN-2024-3193.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PREMA-2024-3876.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/SURES-2024-2462.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PRADE-2024-3228.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/TWINK-2024-2501.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/NOUSH-2024-2766.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/JOSE-2024-2878.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PKRIS-2024-2838.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/JAYAR-2024-2751.jpg', 'img/nota.jpg']",lost,1374,( -442254),GOKULAM SURESH KUMAR,Independent
171,Kerala,Kollam(18),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/NKPRE-2024-3529.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/MMUKE-2024-2438.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/KRISH-2024-20240408055213.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/VIPIN-2024-3193.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PREMA-2024-3876.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/SURES-2024-2462.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PRADE-2024-3228.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/TWINK-2024-2501.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/NOUSH-2024-2766.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/JOSE-2024-2878.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PKRIS-2024-2838.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/JAYAR-2024-2751.jpg', 'img/nota.jpg']",lost,835,( -442793),PRADEEP KOTTARAKKARA,Bharatheeya Jawan Kisan Party
172,Kerala,Kollam(18),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/NKPRE-2024-3529.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/MMUKE-2024-2438.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/KRISH-2024-20240408055213.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/VIPIN-2024-3193.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PREMA-2024-3876.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/SURES-2024-2462.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PRADE-2024-3228.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/TWINK-2024-2501.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/NOUSH-2024-2766.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/JOSE-2024-2878.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PKRIS-2024-2838.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/JAYAR-2024-2751.jpg', 'img/nota.jpg']",lost,708,( -442920),TWINKLE PRABHAKARAN,Socialist Unity Centre Of India (COMMUNIST)
173,Kerala,Kollam(18),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/NKPRE-2024-3529.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/MMUKE-2024-2438.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/KRISH-2024-20240408055213.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/VIPIN-2024-3193.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PREMA-2024-3876.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/SURES-2024-2462.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PRADE-2024-3228.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/TWINK-2024-2501.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/NOUSH-2024-2766.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/JOSE-2024-2878.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PKRIS-2024-2838.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/JAYAR-2024-2751.jpg', 'img/nota.jpg']",lost,579,( -443049),BRO NOUSHAD  SHERIFF J,Independent
174,Kerala,Kollam(18),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/NKPRE-2024-3529.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/MMUKE-2024-2438.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/KRISH-2024-20240408055213.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/VIPIN-2024-3193.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PREMA-2024-3876.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/SURES-2024-2462.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PRADE-2024-3228.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/TWINK-2024-2501.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/NOUSH-2024-2766.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/JOSE-2024-2878.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PKRIS-2024-2838.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/JAYAR-2024-2751.jpg', 'img/nota.jpg']",lost,559,( -443069),JOSE SARANATH,Ambedkarite Party of India
