ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
147,Madhya Pradesh,BETUL(29),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/DURGA-2024-2599.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/RAMUT-2024-3004.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ARJUN-2024-5233.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ANILU-2024-20240404025809.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BHURE-2024-20240403032228.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BHAGC-2024-20240404023344.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/SUNER-2024-20240404052117.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BARAS-2024-20240404035913.jpg', 'img/nota.jpg']",won,848236,(+ 379761),DURGADAS (D. D.) UIKEY,Bharatiya Janata Party
148,Madhya Pradesh,BETUL(29),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/DURGA-2024-2599.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/RAMUT-2024-3004.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ARJUN-2024-5233.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ANILU-2024-20240404025809.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BHURE-2024-20240403032228.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BHAGC-2024-20240404023344.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/SUNER-2024-20240404052117.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BARAS-2024-20240404035913.jpg', 'img/nota.jpg']",lost,468475,( -379761),RAMU TEKAM,Indian National Congress
149,Madhya Pradesh,BETUL(29),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/DURGA-2024-2599.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/RAMUT-2024-3004.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ARJUN-2024-5233.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ANILU-2024-20240404025809.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BHURE-2024-20240403032228.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BHAGC-2024-20240404023344.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/SUNER-2024-20240404052117.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BARAS-2024-20240404035913.jpg', 'img/nota.jpg']",lost,26597,( -821639),ARJUN ASHOK BHALAVI,Bahujan Samaj Party
150,Madhya Pradesh,BETUL(29),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/DURGA-2024-2599.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/RAMUT-2024-3004.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ARJUN-2024-5233.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ANILU-2024-20240404025809.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BHURE-2024-20240403032228.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BHAGC-2024-20240404023344.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/SUNER-2024-20240404052117.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BARAS-2024-20240404035913.jpg', 'img/nota.jpg']",lost,10576,( -837660),ANIL UIKEY,Bharat Adivasi Party
151,Madhya Pradesh,BETUL(29),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/DURGA-2024-2599.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/RAMUT-2024-3004.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ARJUN-2024-5233.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ANILU-2024-20240404025809.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BHURE-2024-20240403032228.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BHAGC-2024-20240404023344.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/SUNER-2024-20240404052117.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BARAS-2024-20240404035913.jpg', 'img/nota.jpg']",lost,7811,( -840425),BHURELAL CHOTELAL BETHEKAR,Independent
152,Madhya Pradesh,BETUL(29),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/DURGA-2024-2599.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/RAMUT-2024-3004.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ARJUN-2024-5233.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ANILU-2024-20240404025809.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BHURE-2024-20240403032228.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BHAGC-2024-20240404023344.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/SUNER-2024-20240404052117.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BARAS-2024-20240404035913.jpg', 'img/nota.jpg']",lost,5968,( -842268),BHAGCHARAN WARKADE,Independent
153,Madhya Pradesh,BETUL(29),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/DURGA-2024-2599.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/RAMUT-2024-3004.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ARJUN-2024-5233.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ANILU-2024-20240404025809.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BHURE-2024-20240403032228.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BHAGC-2024-20240404023344.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/SUNER-2024-20240404052117.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BARAS-2024-20240404035913.jpg', 'img/nota.jpg']",lost,4186,( -844050),SUNER UIKEY,Gondvana Gantantra Party
154,Madhya Pradesh,BETUL(29),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/DURGA-2024-2599.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/RAMUT-2024-3004.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ARJUN-2024-5233.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ANILU-2024-20240404025809.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BHURE-2024-20240403032228.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BHAGC-2024-20240404023344.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/SUNER-2024-20240404052117.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BARAS-2024-20240404035913.jpg', 'img/nota.jpg']",lost,3849,( -844387),BARSKAR SUBHASH KORAKU,Swatantra Kisan Party
155,Madhya Pradesh,BETUL(29),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/DURGA-2024-2599.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/RAMUT-2024-3004.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ARJUN-2024-5233.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ANILU-2024-20240404025809.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BHURE-2024-20240403032228.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BHAGC-2024-20240404023344.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/SUNER-2024-20240404052117.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BARAS-2024-20240404035913.jpg', 'img/nota.jpg']",,20322,( -827914),NOTA,None of the Above
247,Madhya Pradesh,KHANDWA(28),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/GYANE-2024-20240430025118.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NAREN-2024-6833.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MUNNA-2024-7760.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ABHIN-2024-8862.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/LAXMI-2024-7746.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MANOJ-2024-20240430024726.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MAHES-2024-7387.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/SHIVA-2024-8786.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/RAVIN-2024-8799.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/PRAKA-2024-7399.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NARAY-2024-20240430010128.jpg', 'img/nota.jpg']",won,862679,(+ 269971),GYANESHWAR PATIL,Bharatiya Janata Party
