ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
121,Manipur,Outer Manipur(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/ALFRE-2024-1931.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/KACHU-2024-20240330072746.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/SKHOJ-2024-1964.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/ALYSO-2024-1841.jpg', 'img/nota.jpg']",won,384954,(+ 85418),ALFRED KANNGAM S ARTHUR,Indian National Congress
122,Manipur,Outer Manipur(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/ALFRE-2024-1931.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/KACHU-2024-20240330072746.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/SKHOJ-2024-1964.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/ALYSO-2024-1841.jpg', 'img/nota.jpg']",lost,299536,( -85418),KACHUI TIMOTHY ZIMIK,Naga Peoples Front
123,Manipur,Outer Manipur(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/ALFRE-2024-1931.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/KACHU-2024-20240330072746.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/SKHOJ-2024-1964.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/ALYSO-2024-1841.jpg', 'img/nota.jpg']",lost,89910,( -295044),S KHO JOHN,Independent
124,Manipur,Outer Manipur(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/ALFRE-2024-1931.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/KACHU-2024-20240330072746.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/SKHOJ-2024-1964.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/ALYSO-2024-1841.jpg', 'img/nota.jpg']",lost,15110,( -369844),ALYSON ABONMAI,Independent
125,Manipur,Outer Manipur(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/ALFRE-2024-1931.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/KACHU-2024-20240330072746.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/SKHOJ-2024-1964.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/ALYSO-2024-1841.jpg', 'img/nota.jpg']",,7225,( -377729),NOTA,None of the Above
636,Manipur,Inner Manipur(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/ANGOM-2024-1551.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/THOUN-2024-1449.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/MAHES-2024-1390.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/RAJKU-2024-316.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/MOIRA-2024-1656.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/HAORU-2024-1692.jpg', 'img/nota.jpg']",won,374017,(+ 109801),ANGOMCHA BIMOL AKOIJAM,Indian National Congress
637,Manipur,Inner Manipur(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/ANGOM-2024-1551.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/THOUN-2024-1449.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/MAHES-2024-1390.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/RAJKU-2024-316.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/MOIRA-2024-1656.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/HAORU-2024-1692.jpg', 'img/nota.jpg']",lost,264216,( -109801),THOUNAOJAM BASANTA KUMAR SINGH,Bharatiya Janata Party
638,Manipur,Inner Manipur(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/ANGOM-2024-1551.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/THOUN-2024-1449.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/MAHES-2024-1390.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/RAJKU-2024-316.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/MOIRA-2024-1656.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/HAORU-2024-1692.jpg', 'img/nota.jpg']",lost,135640,( -238377),MAHESHWAR THOUNAOJAM,Republican Party of India (Athawale)
639,Manipur,Inner Manipur(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/ANGOM-2024-1551.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/THOUN-2024-1449.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/MAHES-2024-1390.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/RAJKU-2024-316.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/MOIRA-2024-1656.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/HAORU-2024-1692.jpg', 'img/nota.jpg']",lost,13050,( -360967),RAJKUMAR SOMENDRO SINGH,Independent
640,Manipur,Inner Manipur(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/ANGOM-2024-1551.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/THOUN-2024-1449.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/MAHES-2024-1390.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/RAJKU-2024-316.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/MOIRA-2024-1656.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S14/HAORU-2024-1692.jpg', 'img/nota.jpg']",lost,4881,( -369136),MOIRANGTHEM TOTOMSHANA NONGSHABA,Independent
