ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
116,Meghalaya,Tura(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/SALEN-2024-20240329010404.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/AGATH-2024-20240326050214.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/ZENIT-2024-20240327042834.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/LABEN-2024-769.jpg', 'img/nota.jpg']",won,383919,(+ 155241),SALENG A SANGMA,Indian National Congress
117,Meghalaya,Tura(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/SALEN-2024-20240329010404.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/AGATH-2024-20240326050214.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/ZENIT-2024-20240327042834.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/LABEN-2024-769.jpg', 'img/nota.jpg']",lost,228678,( -155241),AGATHA K SANGMA,National People's Party
118,Meghalaya,Tura(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/SALEN-2024-20240329010404.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/AGATH-2024-20240326050214.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/ZENIT-2024-20240327042834.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/LABEN-2024-769.jpg', 'img/nota.jpg']",lost,48709,( -335210),ZENITH M SANGMA,All India Trinamool Congress
119,Meghalaya,Tura(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/SALEN-2024-20240329010404.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/AGATH-2024-20240326050214.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/ZENIT-2024-20240327042834.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/LABEN-2024-769.jpg', 'img/nota.jpg']",lost,6910,( -377009),LABENN CH MARAK,Independent
120,Meghalaya,Tura(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/SALEN-2024-20240329010404.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/AGATH-2024-20240326050214.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/ZENIT-2024-20240327042834.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/LABEN-2024-769.jpg', 'img/nota.jpg']",,5840,( -378079),NOTA,None of the Above
3132,Meghalaya,Shillong(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/DRRI-2024-969.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/VINCE-2024-900.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/DRMA-2024-117.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/ROBER-2024-946.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/PROF-2024-927.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/PETER-2024-147.jpg', 'img/nota.jpg']",won,571078,(+ 371910),DR. RICKY ANDREW J. SYNGKON,Voice of the People Party
3133,Meghalaya,Shillong(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/DRRI-2024-969.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/VINCE-2024-900.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/DRMA-2024-117.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/ROBER-2024-946.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/PROF-2024-927.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/PETER-2024-147.jpg', 'img/nota.jpg']",lost,199168,( -371910),VINCENT H. PALA,Indian National Congress
3134,Meghalaya,Shillong(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/DRRI-2024-969.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/VINCE-2024-900.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/DRMA-2024-117.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/ROBER-2024-946.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/PROF-2024-927.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/PETER-2024-147.jpg', 'img/nota.jpg']",lost,186488,( -384590),DR. MAZEL AMPAREEN LYNGDOH,National People's Party
3135,Meghalaya,Shillong(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/DRRI-2024-969.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/VINCE-2024-900.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/DRMA-2024-117.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/ROBER-2024-946.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/PROF-2024-927.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/PETER-2024-147.jpg', 'img/nota.jpg']",lost,44563,( -526515),ROBERTJUNE KHARJAHRIN,United Democratic Party
3136,Meghalaya,Shillong(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/DRRI-2024-969.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/VINCE-2024-900.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/DRMA-2024-117.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/ROBER-2024-946.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/PROF-2024-927.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S15/PETER-2024-147.jpg', 'img/nota.jpg']",lost,18582,( -552496),PROF. LAKHON KMA,Independent
