ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
3329,Rajasthan,BANSWARA (20),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405050047.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/MAHEN-2024-20240405050129.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405045929.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/ARVIN-2024-20240405050230.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405050152.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/BANSH-2024-20240405050034.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/SHANK-2024-20240405050011.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/DILEE-2024-20240405050106.jpg', 'img/nota.jpg']",won,820831,(+ 247054),RAJ KUMAR ROAT,Bharat Adivasi Party
3330,Rajasthan,BANSWARA (20),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405050047.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/MAHEN-2024-20240405050129.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405045929.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/ARVIN-2024-20240405050230.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405050152.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/BANSH-2024-20240405050034.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/SHANK-2024-20240405050011.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/DILEE-2024-20240405050106.jpg', 'img/nota.jpg']",lost,573777,( -247054),MAHENDRAJEETSINGH MALVIYA,Bharatiya Janata Party
3331,Rajasthan,BANSWARA (20),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405050047.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/MAHEN-2024-20240405050129.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405045929.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/ARVIN-2024-20240405050230.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405050152.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/BANSH-2024-20240405050034.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/SHANK-2024-20240405050011.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/DILEE-2024-20240405050106.jpg', 'img/nota.jpg']",lost,74598,( -746233),RAJKUMAR S/O HIRALAL,Independent
3332,Rajasthan,BANSWARA (20),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405050047.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/MAHEN-2024-20240405050129.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405045929.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/ARVIN-2024-20240405050230.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405050152.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/BANSH-2024-20240405050034.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/SHANK-2024-20240405050011.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/DILEE-2024-20240405050106.jpg', 'img/nota.jpg']",lost,61211,( -759620),ARVIND SITA DAMOR,Indian National Congress
3333,Rajasthan,BANSWARA (20),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405050047.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/MAHEN-2024-20240405050129.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405045929.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/ARVIN-2024-20240405050230.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405050152.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/BANSH-2024-20240405050034.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/SHANK-2024-20240405050011.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/DILEE-2024-20240405050106.jpg', 'img/nota.jpg']",lost,41790,( -779041),RAJKUMAR S/O PREMJI,Independent
3334,Rajasthan,BANSWARA (20),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405050047.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/MAHEN-2024-20240405050129.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405045929.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/ARVIN-2024-20240405050230.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405050152.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/BANSH-2024-20240405050034.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/SHANK-2024-20240405050011.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/DILEE-2024-20240405050106.jpg', 'img/nota.jpg']",lost,17896,( -802935),BANSHILAL AHARI,Independent
3335,Rajasthan,BANSWARA (20),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405050047.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/MAHEN-2024-20240405050129.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405045929.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/ARVIN-2024-20240405050230.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405050152.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/BANSH-2024-20240405050034.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/SHANK-2024-20240405050011.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/DILEE-2024-20240405050106.jpg', 'img/nota.jpg']",lost,17188,( -803643),SHANKARLAL BAMANIYA,Indian Peoples Green Party
3336,Rajasthan,BANSWARA (20),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405050047.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/MAHEN-2024-20240405050129.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405045929.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/ARVIN-2024-20240405050230.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405050152.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/BANSH-2024-20240405050034.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/SHANK-2024-20240405050011.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/DILEE-2024-20240405050106.jpg', 'img/nota.jpg']",lost,8591,( -812240),DILEEP KUMAR MEENA,Bahujan Samaj Party
3337,Rajasthan,BANSWARA (20),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405050047.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/MAHEN-2024-20240405050129.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405045929.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/ARVIN-2024-20240405050230.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-20240405050152.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/BANSH-2024-20240405050034.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/SHANK-2024-20240405050011.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/DILEE-2024-20240405050106.jpg', 'img/nota.jpg']",,20970,( -799861),NOTA,None of the Above
3484,Rajasthan,NAGAUR(14),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/HANUM-2024-20240330062506.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/JYOTI-2024-577.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/DRASH-2024-20240326050531.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/DRGAJ-2024-1513.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/RAJKU-2024-1655.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/HARIR-2024-20240330062249.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/PREMR-2024-1534.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/AMEEN-2024-20240330062217.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S20/HANUM-2024-1554.jpg', 'img/nota.jpg']",won,596955,(+ 42225),HANUMAN BENIWAL,Rashtriya Loktantrik Party
