ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
3314,Sikkim,Sikkim(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/INDRA-2024-1238.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/BHARA-2024-1324.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/PREMD-2024-1205.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/LATEN-2024-854.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/DINES-2024-1341.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/KHARG-2024-844.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/SAMBH-2024-1494.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/GOPAL-2024-1478.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/NAWIN-2024-1215.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/BEENA-2024-20240322043556.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/RAVIC-2024-1252.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/SHYAM-2024-865.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/MADHU-2024-1517.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/RUDRA-2024-1825.jpg', 'img/nota.jpg']",won,164396,(+ 80830),INDRA HANG SUBBA,Sikkim Krantikari Morcha
3315,Sikkim,Sikkim(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/INDRA-2024-1238.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/BHARA-2024-1324.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/PREMD-2024-1205.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/LATEN-2024-854.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/DINES-2024-1341.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/KHARG-2024-844.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/SAMBH-2024-1494.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/GOPAL-2024-1478.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/NAWIN-2024-1215.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/BEENA-2024-20240322043556.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/RAVIC-2024-1252.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/SHYAM-2024-865.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/MADHU-2024-1517.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/RUDRA-2024-1825.jpg', 'img/nota.jpg']",lost,83566,( -80830),BHARAT BASNETT,Citizen Action Party-Sikkim
3316,Sikkim,Sikkim(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/INDRA-2024-1238.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/BHARA-2024-1324.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/PREMD-2024-1205.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/LATEN-2024-854.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/DINES-2024-1341.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/KHARG-2024-844.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/SAMBH-2024-1494.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/GOPAL-2024-1478.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/NAWIN-2024-1215.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/BEENA-2024-20240322043556.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/RAVIC-2024-1252.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/SHYAM-2024-865.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/MADHU-2024-1517.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/RUDRA-2024-1825.jpg', 'img/nota.jpg']",lost,77171,( -87225),PREM DAS RAI,Sikkim Democratic Front
3317,Sikkim,Sikkim(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/INDRA-2024-1238.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/BHARA-2024-1324.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/PREMD-2024-1205.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/LATEN-2024-854.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/DINES-2024-1341.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/KHARG-2024-844.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/SAMBH-2024-1494.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/GOPAL-2024-1478.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/NAWIN-2024-1215.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/BEENA-2024-20240322043556.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/RAVIC-2024-1252.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/SHYAM-2024-865.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/MADHU-2024-1517.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/RUDRA-2024-1825.jpg', 'img/nota.jpg']",lost,21263,( -143133),LATEN TSHERING SHERPA,Independent
3318,Sikkim,Sikkim(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/INDRA-2024-1238.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/BHARA-2024-1324.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/PREMD-2024-1205.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/LATEN-2024-854.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/DINES-2024-1341.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/KHARG-2024-844.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/SAMBH-2024-1494.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/GOPAL-2024-1478.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/NAWIN-2024-1215.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/BEENA-2024-20240322043556.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/RAVIC-2024-1252.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/SHYAM-2024-865.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/MADHU-2024-1517.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/RUDRA-2024-1825.jpg', 'img/nota.jpg']",lost,19035,( -145361),DINESH CHANDRA NEPAL,Bharatiya Janata Party
3319,Sikkim,Sikkim(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/INDRA-2024-1238.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/BHARA-2024-1324.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/PREMD-2024-1205.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/LATEN-2024-854.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/DINES-2024-1341.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/KHARG-2024-844.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/SAMBH-2024-1494.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/GOPAL-2024-1478.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/NAWIN-2024-1215.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/BEENA-2024-20240322043556.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/RAVIC-2024-1252.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/SHYAM-2024-865.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/MADHU-2024-1517.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/RUDRA-2024-1825.jpg', 'img/nota.jpg']",lost,4799,( -159597),KHARGA BHADUR RAI,Sikkim Republican Party
3320,Sikkim,Sikkim(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/INDRA-2024-1238.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/BHARA-2024-1324.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/PREMD-2024-1205.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/LATEN-2024-854.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/DINES-2024-1341.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/KHARG-2024-844.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/SAMBH-2024-1494.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/GOPAL-2024-1478.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/NAWIN-2024-1215.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/BEENA-2024-20240322043556.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/RAVIC-2024-1252.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/SHYAM-2024-865.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/MADHU-2024-1517.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/RUDRA-2024-1825.jpg', 'img/nota.jpg']",lost,4690,( -159706),SAMBHU CHETTRI,Independent
3321,Sikkim,Sikkim(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/INDRA-2024-1238.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/BHARA-2024-1324.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/PREMD-2024-1205.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/LATEN-2024-854.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/DINES-2024-1341.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/KHARG-2024-844.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/SAMBH-2024-1494.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/GOPAL-2024-1478.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/NAWIN-2024-1215.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/BEENA-2024-20240322043556.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/RAVIC-2024-1252.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/SHYAM-2024-865.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/MADHU-2024-1517.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/RUDRA-2024-1825.jpg', 'img/nota.jpg']",lost,2241,( -162155),GOPAL CHETTRI,Indian National Congress
3322,Sikkim,Sikkim(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/INDRA-2024-1238.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/BHARA-2024-1324.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/PREMD-2024-1205.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/LATEN-2024-854.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/DINES-2024-1341.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/KHARG-2024-844.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/SAMBH-2024-1494.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/GOPAL-2024-1478.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/NAWIN-2024-1215.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/BEENA-2024-20240322043556.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/RAVIC-2024-1252.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/SHYAM-2024-865.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/MADHU-2024-1517.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/RUDRA-2024-1825.jpg', 'img/nota.jpg']",lost,1166,( -163230),NAWIN KIRAN PRADHAN,Independent
3323,Sikkim,Sikkim(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/INDRA-2024-1238.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/BHARA-2024-1324.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/PREMD-2024-1205.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/LATEN-2024-854.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/DINES-2024-1341.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/KHARG-2024-844.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/SAMBH-2024-1494.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/GOPAL-2024-1478.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/NAWIN-2024-1215.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/BEENA-2024-20240322043556.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/RAVIC-2024-1252.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/SHYAM-2024-865.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/MADHU-2024-1517.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S21/RUDRA-2024-1825.jpg', 'img/nota.jpg']",lost,1125,( -163271),BEENA RAI,Independent
