ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
3247,Tripura,Tripura East(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KRITI-2024-20240408080041.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/RAJEN-2024-20240408080618.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/ARCHA-2024-20240408080938.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/DARSH-2024-20240408082814.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SANTO-2024-20240408083425.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SHIBC-2024-20240408083552.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SATRU-2024-20240408083259.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KRISH-2024-20240408082545.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KALPA-2024-20240408083624.jpg', 'img/nota.jpg']",won,777447,(+ 486819),KRITI DEVI DEBBARMAN,Bharatiya Janata Party
3248,Tripura,Tripura East(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KRITI-2024-20240408080041.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/RAJEN-2024-20240408080618.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/ARCHA-2024-20240408080938.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/DARSH-2024-20240408082814.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SANTO-2024-20240408083425.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SHIBC-2024-20240408083552.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SATRU-2024-20240408083259.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KRISH-2024-20240408082545.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KALPA-2024-20240408083624.jpg', 'img/nota.jpg']",lost,290628,( -486819),RAJENDRA REANG,Communist Party of India  (Marxist)
3249,Tripura,Tripura East(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KRITI-2024-20240408080041.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/RAJEN-2024-20240408080618.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/ARCHA-2024-20240408080938.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/DARSH-2024-20240408082814.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SANTO-2024-20240408083425.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SHIBC-2024-20240408083552.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SATRU-2024-20240408083259.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KRISH-2024-20240408082545.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KALPA-2024-20240408083624.jpg', 'img/nota.jpg']",lost,10922,( -766525),ARCHANA URANG,Independent
3250,Tripura,Tripura East(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KRITI-2024-20240408080041.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/RAJEN-2024-20240408080618.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/ARCHA-2024-20240408080938.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/DARSH-2024-20240408082814.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SANTO-2024-20240408083425.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SHIBC-2024-20240408083552.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SATRU-2024-20240408083259.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KRISH-2024-20240408082545.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KALPA-2024-20240408083624.jpg', 'img/nota.jpg']",lost,9269,( -768178),DARSHAN KUMAR REANG,Independent
3251,Tripura,Tripura East(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KRITI-2024-20240408080041.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/RAJEN-2024-20240408080618.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/ARCHA-2024-20240408080938.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/DARSH-2024-20240408082814.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SANTO-2024-20240408083425.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SHIBC-2024-20240408083552.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SATRU-2024-20240408083259.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KRISH-2024-20240408082545.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KALPA-2024-20240408083624.jpg', 'img/nota.jpg']",lost,6862,( -770585),SANTOJOY TRIPURA,Independent
3252,Tripura,Tripura East(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KRITI-2024-20240408080041.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/RAJEN-2024-20240408080618.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/ARCHA-2024-20240408080938.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/DARSH-2024-20240408082814.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SANTO-2024-20240408083425.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SHIBC-2024-20240408083552.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SATRU-2024-20240408083259.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KRISH-2024-20240408082545.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KALPA-2024-20240408083624.jpg', 'img/nota.jpg']",lost,6719,( -770728),SHIB CHANDRA DEBBARMA,Independent
3253,Tripura,Tripura East(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KRITI-2024-20240408080041.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/RAJEN-2024-20240408080618.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/ARCHA-2024-20240408080938.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/DARSH-2024-20240408082814.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SANTO-2024-20240408083425.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SHIBC-2024-20240408083552.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SATRU-2024-20240408083259.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KRISH-2024-20240408082545.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KALPA-2024-20240408083624.jpg', 'img/nota.jpg']",lost,5967,( -771480),SATRUGHNA JAMATIA,Independent
3254,Tripura,Tripura East(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KRITI-2024-20240408080041.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/RAJEN-2024-20240408080618.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/ARCHA-2024-20240408080938.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/DARSH-2024-20240408082814.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SANTO-2024-20240408083425.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SHIBC-2024-20240408083552.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SATRU-2024-20240408083259.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KRISH-2024-20240408082545.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KALPA-2024-20240408083624.jpg', 'img/nota.jpg']",lost,4217,( -773230),KRISHNA MOHAN JAMATIA,Independent
3255,Tripura,Tripura East(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KRITI-2024-20240408080041.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/RAJEN-2024-20240408080618.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/ARCHA-2024-20240408080938.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/DARSH-2024-20240408082814.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SANTO-2024-20240408083425.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SHIBC-2024-20240408083552.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SATRU-2024-20240408083259.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KRISH-2024-20240408082545.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KALPA-2024-20240408083624.jpg', 'img/nota.jpg']",lost,4011,( -773436),KALPA MOHAN TRIPURA,Independent
3256,Tripura,Tripura East(2),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KRITI-2024-20240408080041.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/RAJEN-2024-20240408080618.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/ARCHA-2024-20240408080938.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/DARSH-2024-20240408082814.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SANTO-2024-20240408083425.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SHIBC-2024-20240408083552.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/SATRU-2024-20240408083259.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KRISH-2024-20240408082545.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S23/KALPA-2024-20240408083624.jpg', 'img/nota.jpg']",,18303,( -759144),NOTA,None of the Above
