ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
3236,Uttar Pradesh,Mirzapur(79),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/ANUPR-2024-12646.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAMES-2024-12648.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/MANIS-2024-12235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAJES-2024-12652.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/LALJI-2024-13051.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/ANILK-2024-13100.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/DAULA-2024-11772.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAMDH-2024-12188.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/SAMEE-2024-13158.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/SATYA-2024-13036.jpg', 'img/nota.jpg']",won,471631,(+ 37810),ANUPRIYA PATEL,Apna Dal (Soneylal)
3237,Uttar Pradesh,Mirzapur(79),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/ANUPR-2024-12646.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAMES-2024-12648.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/MANIS-2024-12235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAJES-2024-12652.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/LALJI-2024-13051.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/ANILK-2024-13100.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/DAULA-2024-11772.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAMDH-2024-12188.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/SAMEE-2024-13158.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/SATYA-2024-13036.jpg', 'img/nota.jpg']",lost,433821,( -37810),RAMESH CHAND BIND,Samajwadi Party
3238,Uttar Pradesh,Mirzapur(79),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/ANUPR-2024-12646.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAMES-2024-12648.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/MANIS-2024-12235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAJES-2024-12652.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/LALJI-2024-13051.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/ANILK-2024-13100.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/DAULA-2024-11772.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAMDH-2024-12188.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/SAMEE-2024-13158.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/SATYA-2024-13036.jpg', 'img/nota.jpg']",lost,144446,( -327185),MANISH KUMAR,Bahujan Samaj Party
3239,Uttar Pradesh,Mirzapur(79),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/ANUPR-2024-12646.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAMES-2024-12648.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/MANIS-2024-12235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAJES-2024-12652.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/LALJI-2024-13051.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/ANILK-2024-13100.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/DAULA-2024-11772.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAMDH-2024-12188.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/SAMEE-2024-13158.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/SATYA-2024-13036.jpg', 'img/nota.jpg']",lost,10936,( -460695),RAJESH,Independent
3240,Uttar Pradesh,Mirzapur(79),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/ANUPR-2024-12646.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAMES-2024-12648.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/MANIS-2024-12235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAJES-2024-12652.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/LALJI-2024-13051.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/ANILK-2024-13100.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/DAULA-2024-11772.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAMDH-2024-12188.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/SAMEE-2024-13158.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/SATYA-2024-13036.jpg', 'img/nota.jpg']",lost,6359,( -465272),LAL JI VERMA,Independent
3241,Uttar Pradesh,Mirzapur(79),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/ANUPR-2024-12646.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAMES-2024-12648.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/MANIS-2024-12235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAJES-2024-12652.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/LALJI-2024-13051.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/ANILK-2024-13100.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/DAULA-2024-11772.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAMDH-2024-12188.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/SAMEE-2024-13158.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/SATYA-2024-13036.jpg', 'img/nota.jpg']",lost,6171,( -465460),ANIL KUMAR,Eklavya Samaj Party
3242,Uttar Pradesh,Mirzapur(79),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/ANUPR-2024-12646.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAMES-2024-12648.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/MANIS-2024-12235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAJES-2024-12652.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/LALJI-2024-13051.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/ANILK-2024-13100.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/DAULA-2024-11772.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAMDH-2024-12188.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/SAMEE-2024-13158.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/SATYA-2024-13036.jpg', 'img/nota.jpg']",lost,5235,( -466396),DAULAT SINGH,Apna Dal (Kamerawadi)
3243,Uttar Pradesh,Mirzapur(79),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/ANUPR-2024-12646.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAMES-2024-12648.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/MANIS-2024-12235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAJES-2024-12652.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/LALJI-2024-13051.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/ANILK-2024-13100.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/DAULA-2024-11772.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAMDH-2024-12188.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/SAMEE-2024-13158.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/SATYA-2024-13036.jpg', 'img/nota.jpg']",lost,4915,( -466716),RAMDHANI,Rashtriya Samaj Paksha
3244,Uttar Pradesh,Mirzapur(79),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/ANUPR-2024-12646.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAMES-2024-12648.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/MANIS-2024-12235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAJES-2024-12652.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/LALJI-2024-13051.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/ANILK-2024-13100.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/DAULA-2024-11772.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAMDH-2024-12188.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/SAMEE-2024-13158.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/SATYA-2024-13036.jpg', 'img/nota.jpg']",lost,3487,( -468144),SAMEER SINGH,All India Forward Bloc
3245,Uttar Pradesh,Mirzapur(79),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/ANUPR-2024-12646.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAMES-2024-12648.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/MANIS-2024-12235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAJES-2024-12652.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/LALJI-2024-13051.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/ANILK-2024-13100.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/DAULA-2024-11772.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/RAMDH-2024-12188.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/SAMEE-2024-13158.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S24/SATYA-2024-13036.jpg', 'img/nota.jpg']",lost,3355,( -468276),SATYADEV,Purvanchal Mahapanchayat
