ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
3221,Uttarakhand,Haridwar(5),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/TRIVE-2024-20240328022006.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/VIREN-2024-1505.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/UMESH-2024-20240327103719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/JAMIL-2024-1196.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/BALBI-2024-1084.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/MOHAN-2024-1561.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/VIJAY-2024-1156.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/PAWAN-2024-765.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/KARAN-2024-1137.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/AKRAM-2024-1683.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/LALIT-2024-114.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/SURES-2024-130.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/ASHIS-2024-645.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/AVNIS-2024-1672.jpg', 'img/nota.jpg']",won,653808,(+ 164056),TRIVENDRA SINGH RAWAT,Bharatiya Janata Party
3222,Uttarakhand,Haridwar(5),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/TRIVE-2024-20240328022006.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/VIREN-2024-1505.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/UMESH-2024-20240327103719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/JAMIL-2024-1196.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/BALBI-2024-1084.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/MOHAN-2024-1561.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/VIJAY-2024-1156.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/PAWAN-2024-765.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/KARAN-2024-1137.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/AKRAM-2024-1683.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/LALIT-2024-114.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/SURES-2024-130.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/ASHIS-2024-645.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/AVNIS-2024-1672.jpg', 'img/nota.jpg']",lost,489752,( -164056),VIRENDRA RAWAT,Indian National Congress
3223,Uttarakhand,Haridwar(5),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/TRIVE-2024-20240328022006.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/VIREN-2024-1505.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/UMESH-2024-20240327103719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/JAMIL-2024-1196.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/BALBI-2024-1084.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/MOHAN-2024-1561.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/VIJAY-2024-1156.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/PAWAN-2024-765.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/KARAN-2024-1137.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/AKRAM-2024-1683.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/LALIT-2024-114.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/SURES-2024-130.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/ASHIS-2024-645.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/AVNIS-2024-1672.jpg', 'img/nota.jpg']",lost,91188,( -562620),UMESH KUMAR PATRAKAR,Independent
3224,Uttarakhand,Haridwar(5),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/TRIVE-2024-20240328022006.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/VIREN-2024-1505.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/UMESH-2024-20240327103719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/JAMIL-2024-1196.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/BALBI-2024-1084.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/MOHAN-2024-1561.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/VIJAY-2024-1156.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/PAWAN-2024-765.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/KARAN-2024-1137.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/AKRAM-2024-1683.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/LALIT-2024-114.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/SURES-2024-130.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/ASHIS-2024-645.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/AVNIS-2024-1672.jpg', 'img/nota.jpg']",lost,42323,( -611485),JAMIL AHMAD,Bahujan Samaj Party
3225,Uttarakhand,Haridwar(5),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/TRIVE-2024-20240328022006.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/VIREN-2024-1505.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/UMESH-2024-20240327103719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/JAMIL-2024-1196.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/BALBI-2024-1084.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/MOHAN-2024-1561.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/VIJAY-2024-1156.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/PAWAN-2024-765.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/KARAN-2024-1137.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/AKRAM-2024-1683.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/LALIT-2024-114.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/SURES-2024-130.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/ASHIS-2024-645.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/AVNIS-2024-1672.jpg', 'img/nota.jpg']",lost,2961,( -650847),BALBIR SINGH BHANDARI,Uttarakhand Samanta Party
3226,Uttarakhand,Haridwar(5),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/TRIVE-2024-20240328022006.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/VIREN-2024-1505.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/UMESH-2024-20240327103719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/JAMIL-2024-1196.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/BALBI-2024-1084.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/MOHAN-2024-1561.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/VIJAY-2024-1156.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/PAWAN-2024-765.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/KARAN-2024-1137.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/AKRAM-2024-1683.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/LALIT-2024-114.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/SURES-2024-130.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/ASHIS-2024-645.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/AVNIS-2024-1672.jpg', 'img/nota.jpg']",lost,2854,( -650954),MOHAN SINGH ASWAL,Uttarakhand Kranti Dal
3227,Uttarakhand,Haridwar(5),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/TRIVE-2024-20240328022006.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/VIREN-2024-1505.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/UMESH-2024-20240327103719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/JAMIL-2024-1196.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/BALBI-2024-1084.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/MOHAN-2024-1561.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/VIJAY-2024-1156.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/PAWAN-2024-765.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/KARAN-2024-1137.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/AKRAM-2024-1683.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/LALIT-2024-114.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/SURES-2024-130.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/ASHIS-2024-645.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/AVNIS-2024-1672.jpg', 'img/nota.jpg']",lost,2410,( -651398),VIJAY KUMAR,Independent
3228,Uttarakhand,Haridwar(5),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/TRIVE-2024-20240328022006.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/VIREN-2024-1505.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/UMESH-2024-20240327103719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/JAMIL-2024-1196.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/BALBI-2024-1084.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/MOHAN-2024-1561.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/VIJAY-2024-1156.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/PAWAN-2024-765.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/KARAN-2024-1137.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/AKRAM-2024-1683.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/LALIT-2024-114.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/SURES-2024-130.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/ASHIS-2024-645.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/AVNIS-2024-1672.jpg', 'img/nota.jpg']",lost,2178,( -651630),PAWAN KASHYAP,Independent
3229,Uttarakhand,Haridwar(5),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/TRIVE-2024-20240328022006.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/VIREN-2024-1505.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/UMESH-2024-20240327103719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/JAMIL-2024-1196.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/BALBI-2024-1084.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/MOHAN-2024-1561.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/VIJAY-2024-1156.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/PAWAN-2024-765.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/KARAN-2024-1137.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/AKRAM-2024-1683.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/LALIT-2024-114.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/SURES-2024-130.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/ASHIS-2024-645.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/AVNIS-2024-1672.jpg', 'img/nota.jpg']",lost,1974,( -651834),KARAN SINGH SAINI ENGINEER,Independent
3230,Uttarakhand,Haridwar(5),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/TRIVE-2024-20240328022006.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/VIREN-2024-1505.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/UMESH-2024-20240327103719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/JAMIL-2024-1196.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/BALBI-2024-1084.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/MOHAN-2024-1561.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/VIJAY-2024-1156.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/PAWAN-2024-765.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/KARAN-2024-1137.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/AKRAM-2024-1683.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/LALIT-2024-114.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/SURES-2024-130.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/ASHIS-2024-645.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S28/AVNIS-2024-1672.jpg', 'img/nota.jpg']",lost,1685,( -652123),AKRAM HUSSAIN,Independent
